Channel 1,Channel 2,Channel 3
-5.702989,-1.343147,7.987057
-5.724536,-1.235408,7.936779
-5.681441,-1.242591,7.951144
-5.688623,-1.213860,7.900866
-5.631162,-1.271321,7.922413
-5.724536,-1.307234,7.958326
-5.631162,-1.242591,7.879318
-5.688623,-1.256956,7.951144
-5.760449,-1.307234,8.001422
-5.688623,-1.350330,7.994239
-5.674258,-1.300052,7.951144
-5.731719,-1.242591,7.879318
-5.595249,-1.278504,7.929596
-5.638345,-1.364695,7.800309
-5.674258,-1.300052,7.872135
-5.724536,-1.278504,7.843405
-5.623980,-1.242591,7.850587
-5.767632,-1.278504,7.843405
-5.717354,-1.221043,7.864953
-5.659893,-1.343147,7.951144
-5.695806,-1.285686,7.958326
-5.702989,-1.228225,7.886500
-5.681441,-1.314417,7.943961
-5.760449,-1.221043,7.943961
-5.717354,-1.371878,8.037335
-5.688623,-1.256956,7.972692
-5.731719,-1.285686,7.908048
-5.760449,-1.264138,7.936779
-5.753267,-1.307234,8.044518
-5.717354,-1.364695,7.994239
-5.688623,-1.249773,7.936779
-5.717354,-1.206678,7.872135
-5.688623,-1.213860,7.908048
-5.688623,-1.292869,7.958326
-5.753267,-1.278504,7.994239
-5.738902,-1.199495,8.037335
-5.746084,-1.213860,8.030152
-5.717354,-1.235408,8.044518
-5.746084,-1.307234,7.987057
-5.717354,-1.357512,8.001422
-5.774815,-1.242591,8.001422
-5.667076,-1.335965,7.922413
-5.753267,-1.407791,7.958326
-5.695806,-1.242591,7.979874
-5.753267,-1.242591,8.037335
-5.702989,-1.292869,8.030152
-5.774815,-1.256956,7.958326
-5.753267,-1.292869,7.879318
-5.746084,-1.321599,7.958326
-5.796362,-1.264138,7.929596
-5.731719,-1.278504,7.943961
-5.645528,-1.256956,7.857770
-5.688623,-1.256956,7.900866
-5.746084,-1.292869,7.900866
-5.724536,-1.285686,7.900866
-5.724536,-1.292869,7.922413
-5.724536,-1.300052,7.893683
-5.674258,-1.278504,7.994239
-5.781997,-1.249773,7.908048
-5.746084,-1.300052,7.929596
-5.760449,-1.314417,7.915231
-5.710171,-1.300052,7.872135
-5.695806,-1.300052,7.958326
-5.738902,-1.228225,7.979874
-5.731719,-1.256956,7.915231
-5.753267,-1.221043,8.044518
-5.681441,-1.221043,7.943961
-5.688623,-1.221043,7.972692
-5.667076,-1.249773,7.850587
-5.724536,-1.278504,7.922413
-5.710171,-1.328782,8.008605
-5.695806,-1.235408,7.908048
-5.623980,-1.343147,7.864953
-5.695806,-1.292869,7.965509
-5.767632,-1.321599,7.936779
-5.753267,-1.321599,8.022970
-5.724536,-1.213860,7.979874
-5.674258,-1.242591,7.929596
-5.631162,-1.249773,7.915231
-5.688623,-1.307234,7.879318
-5.667076,-1.228225,7.987057
-5.767632,-1.256956,7.972692
-5.767632,-1.221043,7.922413
-5.760449,-1.278504,7.965509
-5.767632,-1.249773,7.958326
-5.724536,-1.307234,8.022970
-5.702989,-1.357512,7.965509
-5.695806,-1.235408,7.936779
-5.767632,-1.264138,7.929596
-5.667076,-1.321599,7.829040
-5.681441,-1.242591,7.872135
-5.731719,-1.321599,7.771579
-5.681441,-1.321599,7.951144
-5.695806,-1.321599,7.915231
-5.767632,-1.400608,7.951144
-5.746084,-1.213860,7.893683
-5.760449,-1.335965,7.951144
-5.731719,-1.300052,7.908048
-5.681441,-1.343147,7.893683
-5.774815,-1.292869,7.900866
-5.738902,-1.292869,7.943961
-5.803545,-1.242591,7.922413
-5.731719,-1.300052,7.922413
