Channel 1,Channel 2,Channel 3
-0.495600,6.959944,-6.837840
-0.545878,6.852205,-6.902483
-0.409408,6.952762,-6.830657
-0.481235,6.952762,-6.873753
-0.524330,6.981492,-6.974309
-0.517148,6.959944,-6.809110
-0.531513,6.952762,-6.916849
-0.445322,6.988675,-6.952762
-0.596156,6.945579,-6.902483
-0.646434,6.931214,-6.909666
-0.538695,6.981492,-6.902483
-0.509965,7.031770,-6.888118
-0.545878,6.952762,-6.880936
-0.502782,7.053318,-6.967127
-0.495600,6.967127,-6.916849
-0.531513,7.053318,-6.888118
-0.509965,6.959944,-6.880936
-0.517148,6.909666,-6.988675
-0.524330,6.974309,-6.931214
-0.560243,7.017405,-6.931214
-0.524330,6.916849,-6.974309
-0.488417,6.924031,-6.959944
-0.488417,6.931214,-6.888118
-0.531513,7.003040,-7.031770
-0.567426,6.952762,-6.988675
-0.632069,6.938396,-6.859388
-0.545878,6.902483,-6.931214
-0.538695,6.837840,-6.873753
-0.459687,6.931214,-6.916849
-0.581791,6.995857,-7.010222
-0.632069,6.967127,-6.909666
-0.639252,6.866570,-6.945579
-0.596156,6.866570,-6.895301
-0.531513,6.988675,-6.809110
-0.502782,6.909666,-6.880936
-0.509965,6.873753,-6.859388
-0.509965,7.017405,-6.916849
-0.481235,7.038953,-7.046135
-0.531513,6.974309,-6.945579
-0.574608,6.945579,-6.794744
-0.502782,6.916849,-6.837840
-0.553061,6.909666,-6.845023
-0.502782,7.074866,-6.888118
-0.567426,6.938396,-6.988675
-0.603339,6.995857,-6.895301
-0.553061,7.003040,-6.959944
-0.517148,6.959944,-6.945579
-0.445322,6.902483,-7.010222
-0.488417,6.902483,-6.859388
-0.567426,6.866570,-6.938396
-0.610521,6.895301,-6.880936
-0.567426,6.916849,-6.967127
-0.567426,7.010222,-6.959944
-0.624887,7.017405,-6.866570
-0.588974,6.924031,-6.909666
-0.588974,6.988675,-6.945579
-0.603339,6.931214,-6.837840
-0.517148,6.845023,-6.895301
-0.553061,6.959944,-6.988675
-0.596156,6.909666,-6.909666
-0.545878,6.938396,-6.866570
-0.538695,6.974309,-6.902483
-0.531513,6.909666,-6.924031
-0.502782,6.909666,-6.924031
-0.581791,6.873753,-6.873753
-0.596156,6.952762,-6.938396
-0.596156,7.010222,-6.931214
-0.495600,6.981492,-6.945579
-0.581791,6.959944,-6.866570
-0.553061,6.995857,-6.931214
-0.517148,6.888118,-6.945579
-0.553061,6.967127,-6.909666
-0.531513,6.995857,-6.995857
-0.495600,6.981492,-6.916849
-0.545878,6.938396,-6.924031
-0.545878,6.945579,-7.010222
-0.531513,6.924031,-6.909666
-0.502782,6.924031,-6.888118
-0.517148,6.924031,-7.003040
-0.560243,6.981492,-7.010222
-0.481235,6.974309,-6.902483
-0.596156,6.959944,-7.010222
-0.524330,6.931214,-6.924031
-0.596156,6.938396,-6.880936
-0.567426,6.981492,-6.902483
-0.596156,6.938396,-6.852205
-0.545878,6.895301,-6.959944
-0.488417,7.010222,-6.866570
-0.474052,6.974309,-6.909666
-0.466869,6.967127,-6.988675
-0.524330,6.959944,-6.852205
-0.495600,6.945579,-6.974309
-0.517148,6.959944,-7.010222
-0.517148,6.880936,-6.830657
-0.588974,6.924031,-6.952762
-0.567426,6.952762,-6.924031
-0.560243,6.974309,-6.988675
-0.538695,6.952762,-6.981492
-0.495600,7.003040,-7.010222
-0.553061,6.895301,-6.938396
-0.517148,6.866570,-6.916849
-0.581791,6.959944,-6.924031
-0.581791,6.924031,-6.845023
-0.603339,6.967127,-6.967127
-0.596156,6.938396,-6.909666
-0.553061,6.902483,-6.902483
-0.509965,6.931214,-6.981492
-0.517148,6.952762,-6.945579
-0.560243,6.938396,-6.909666
-0.474052,6.945579,-6.952762
-0.445322,6.895301,-6.909666
-0.531513,6.880936,-6.902483
-0.524330,6.959944,-7.017405
-0.545878,6.981492,-7.003040
-0.567426,6.959944,-6.909666
-0.538695,6.959944,-6.931214
-0.474052,6.924031,-6.866570
-0.646434,6.967127,-6.895301
-0.603339,6.938396,-6.837840
-0.596156,6.995857,-6.888118
-0.581791,6.952762,-6.816292
-0.502782,7.003040,-7.024588
-0.588974,6.924031,-6.909666
-0.509965,6.895301,-6.916849
-0.531513,6.916849,-6.952762
-0.481235,6.995857,-6.888118
-0.538695,6.967127,-6.945579
-0.509965,7.003040,-6.931214
-0.538695,7.031770,-6.909666
-0.509965,6.988675,-6.909666
-0.567426,6.866570,-6.845023
-0.545878,6.909666,-6.938396
-0.531513,6.988675,-6.866570
-0.509965,7.010222,-6.945579
-0.610521,6.945579,-6.880936
-0.538695,7.010222,-6.888118
-0.581791,6.888118,-6.845023
-0.567426,6.981492,-6.794744
-0.596156,6.873753,-6.916849
-0.574608,6.888118,-6.873753
-0.553061,6.967127,-6.959944
-0.610521,6.974309,-7.024588
-0.531513,6.952762,-6.959944
-0.567426,6.916849,-6.866570
-0.538695,6.845023,-6.967127
-0.531513,6.852205,-6.873753
-0.538695,6.880936,-6.909666
-0.531513,6.981492,-6.952762
-0.474052,6.981492,-7.017405
-0.531513,6.931214,-7.031770
-0.474052,6.952762,-6.880936
-0.502782,6.995857,-6.888118
-0.459687,7.003040,-6.959944
-0.574608,6.952762,-6.852205
-0.574608,7.003040,-6.852205
-0.581791,6.974309,-6.924031
-0.495600,6.967127,-6.974309
-0.466869,6.902483,-6.809110
-0.495600,6.945579,-6.967127
-0.531513,6.967127,-6.902483
-0.588974,6.859388,-6.809110
-0.517148,6.866570,-6.766014
-0.581791,6.959944,-6.902483
-0.574608,6.945579,-6.952762
-0.581791,6.952762,-6.945579
-0.538695,6.866570,-6.945579
-0.531513,6.916849,-6.924031
