Channel 1,Channel 2,Channel 3
8.568848,-1.458069,4.855441
8.504205,-1.379060,4.819528
8.568848,-1.379060,4.862624
8.554482,-1.292869,4.855441
8.511387,-1.400608,4.876989
8.554482,-1.357512,4.805163
8.540117,-1.321599,4.797980
8.568848,-1.357512,4.812346
8.482656,-1.328782,4.819528
8.511387,-1.371878,4.826711
8.540117,-1.422156,4.805163
8.583213,-1.429338,4.819528
8.540117,-1.386243,4.920084
8.576031,-1.422156,4.841076
8.511387,-1.436521,4.783615
8.525752,-1.379060,4.769250
8.576031,-1.436521,4.884171
8.532935,-1.429338,4.848258
8.446744,-1.314417,4.812346
8.482656,-1.292869,4.833893
8.532935,-1.364695,4.884171
8.504205,-1.307234,4.790798
8.547300,-1.386243,4.812346
8.497022,-1.407791,4.812346
8.489840,-1.414973,4.826711
8.590396,-1.386243,4.848258
8.525752,-1.379060,4.740520
8.576031,-1.414973,4.934450
8.532935,-1.407791,4.848258
8.540117,-1.493982,4.812346
8.568848,-1.436521,4.776433
8.518570,-1.350330,4.819528
8.497022,-1.364695,4.855441
8.504205,-1.379060,4.790798
8.504205,-1.393425,4.797980
8.547300,-1.350330,4.833893
8.446744,-1.400608,4.848258
8.518570,-1.407791,4.833893
8.504205,-1.393425,4.848258
8.497022,-1.450886,4.833893
8.511387,-1.386243,4.805163
8.532935,-1.379060,4.797980
8.525752,-1.300052,4.805163
8.497022,-1.436521,4.898537
8.518570,-1.357512,4.841076
8.547300,-1.379060,4.690241
8.554482,-1.335965,4.920084
8.475474,-1.343147,4.955997
8.518570,-1.400608,4.884171
8.518570,-1.379060,4.783615
8.597578,-1.436521,4.848258
8.518570,-1.414973,4.920084
8.525752,-1.371878,4.891354
8.554482,-1.292869,4.790798
8.518570,-1.379060,4.733337
8.489840,-1.364695,4.754885
8.525752,-1.429338,4.848258
8.475474,-1.465251,4.790798
8.554482,-1.443704,4.812346
8.504205,-1.472434,4.812346
8.475474,-1.364695,4.855441
8.561666,-1.407791,4.754885
8.489840,-1.422156,4.891354
8.518570,-1.400608,4.884171
8.532935,-1.357512,4.848258
8.525752,-1.414973,4.797980
8.518570,-1.328782,4.819528
8.518570,-1.343147,4.797980
8.497022,-1.314417,4.862624
8.525752,-1.422156,4.797980
8.511387,-1.422156,4.833893
8.461109,-1.314417,4.848258
8.568848,-1.364695,4.848258
8.525752,-1.379060,4.927267
8.525752,-1.465251,4.776433
8.568848,-1.465251,4.812346
8.590396,-1.335965,4.747702
8.489840,-1.443704,4.833893
8.504205,-1.350330,4.747702
8.568848,-1.343147,4.805163
8.576031,-1.400608,4.754885
8.504205,-1.357512,4.812346
8.511387,-1.328782,4.805163
8.547300,-1.436521,4.862624
8.576031,-1.493982,4.833893
8.547300,-1.443704,4.891354
8.497022,-1.307234,4.905719
8.532935,-1.465251,4.704607
8.554482,-1.458069,4.790798
8.568848,-1.357512,4.841076
8.540117,-1.393425,4.805163
8.583213,-1.256956,4.797980
8.497022,-1.321599,4.826711
8.583213,-1.350330,4.841076
8.497022,-1.393425,4.862624
8.604761,-1.357512,4.747702
8.547300,-1.364695,4.733337
8.468291,-1.400608,4.862624
8.504205,-1.436521,4.862624
8.554482,-1.407791,4.862624
8.532935,-1.422156,4.862624
8.568848,-1.422156,4.848258
8.525752,-1.343147,4.819528
8.518570,-1.465251,4.833893
8.425196,-1.414973,4.783615
8.432379,-1.357512,4.805163
8.532935,-1.443704,4.869806
8.518570,-1.422156,4.876989
8.611943,-1.350330,4.790798
8.554482,-1.407791,4.884171
8.540117,-1.400608,4.869806
8.511387,-1.292869,4.848258
8.532935,-1.371878,4.891354
8.547300,-1.314417,4.841076
8.525752,-1.328782,4.848258
8.482656,-1.414973,4.747702
8.518570,-1.429338,4.812346
8.489840,-1.443704,4.769250
8.504205,-1.292869,4.812346
8.561666,-1.379060,4.711789
8.540117,-1.493982,4.819528
8.583213,-1.458069,4.869806
8.497022,-1.407791,4.884171
8.590396,-1.472434,4.833893
8.532935,-1.343147,4.790798
8.532935,-1.328782,4.718972
8.540117,-1.371878,4.833893
8.547300,-1.400608,4.762067
8.576031,-1.422156,4.855441
8.547300,-1.400608,4.790798
8.561666,-1.386243,4.762067
8.540117,-1.350330,4.841076
8.482656,-1.436521,4.826711
8.640674,-1.407791,4.805163
8.518570,-1.422156,4.876989
8.525752,-1.364695,4.848258
8.540117,-1.379060,4.920084
8.561666,-1.335965,4.841076
