Channel 1,Channel 2,Channel 3
1.601721,1.766921,9.660604
1.587356,1.651999,9.631873
1.565808,1.723825,9.567230
1.544260,1.795651,9.538500
1.608904,1.781286,9.595961
1.572991,1.738190,9.538500
1.630451,1.695095,9.588778
1.695095,1.659182,9.746795
1.594538,1.695095,9.531317
1.644817,1.716643,9.524135
1.565808,1.745373,9.531317
1.558625,1.673547,9.603143
1.616086,1.702277,9.617508
1.716643,1.659182,9.588778
1.616086,1.752556,9.624691
1.544260,1.810017,9.588778
1.630451,1.731008,9.617508
1.630451,1.810017,9.624691
1.637634,1.766921,9.696517
1.508347,1.731008,9.689334
1.659182,1.680730,9.552865
1.623269,1.630451,9.624691
1.587356,1.680730,9.646238
1.630451,1.673547,9.631873
1.644817,1.594538,9.617508
1.616086,1.673547,9.581595
1.637634,1.666364,9.753978
1.515530,1.709460,9.567230
1.544260,1.702277,9.595961
1.580173,1.831564,9.639056
1.673547,1.795651,9.624691
1.623269,1.745373,9.516952
1.572991,1.759738,9.674969
1.630451,1.738190,9.624691
1.651999,1.666364,9.581595
1.695095,1.673547,9.581595
1.601721,1.723825,9.617508
1.580173,1.731008,9.631873
1.601721,1.687912,9.660604
1.695095,1.687912,9.624691
1.551443,1.759738,9.595961
1.608904,1.774103,9.617508
1.601721,1.745373,9.581595
1.594538,1.723825,9.667787
1.565808,1.687912,9.631873
1.666364,1.680730,9.667787
1.644817,1.853112,9.502586
1.601721,1.817199,9.624691
1.572991,1.687912,9.653421
1.616086,1.709460,9.631873
1.594538,1.716643,9.667787
1.515530,1.673547,9.624691
1.580173,1.709460,9.667787
1.630451,1.738190,9.588778
1.608904,1.745373,9.560047
1.680730,1.731008,9.567230
1.616086,1.781286,9.653421
1.666364,1.810017,9.610326
1.666364,1.788469,9.560047
1.594538,1.738190,9.603143
1.687912,1.731008,9.631873
1.587356,1.709460,9.588778
1.666364,1.716643,9.552865
1.637634,1.817199,9.567230
1.695095,1.766921,9.509769
1.616086,1.716643,9.595961
