Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
-0.351948,-0.043096,9.825804,0.000000,0.003196,0.008522
-0.395043,-0.021548,9.653421,0.002131,0.003196,-0.004261
-0.459687,0.064643,9.746795,0.003196,-0.008522,-0.007457
-0.438139,-0.043096,9.710882,0.004261,-0.001065,0.002131
-0.387861,-0.007183,9.739613,0.000000,0.000000,0.002131
-0.466869,0.014365,9.775525,0.008522,-0.006392,-0.004261
-0.402226,-0.021548,9.761160,0.012784,0.002131,0.007457
-0.430956,0.050278,9.761160,0.009588,0.000000,0.000000
-0.466869,0.014365,9.746795,0.002131,-0.001065,-0.004261
-0.423774,0.035913,9.624691,0.001065,-0.005326,-0.002131
-0.438139,0.050278,9.768343,0.001065,0.002131,-0.002131
-0.438139,0.035913,9.739613,0.007457,-0.004261,0.002131
-0.395043,0.043096,9.689334,0.002131,-0.004261,0.004261
-0.359130,0.114922,9.768343,0.005326,-0.004261,0.002131
-0.402226,-0.035913,9.710882,0.008522,-0.007457,-0.005326
-0.423774,0.000000,9.761160,0.006392,0.000000,-0.004261
-0.344765,0.000000,9.811439,0.002131,0.003196,-0.001065
-0.409408,-0.014365,9.739613,-0.003196,0.000000,0.008522
-0.380678,0.028730,9.725247,0.003196,-0.005326,0.002131
-0.423774,0.043096,9.718064,0.007457,-0.004261,-0.006392
-0.409408,0.064643,9.797073,-0.004261,-0.007457,0.001065
-0.423774,-0.057461,9.782708,0.005326,-0.005326,-0.005326
-0.423774,0.007183,9.703699,0.010653,0.004261,-0.005326
-0.387861,0.079009,9.775525,0.001065,0.002131,-0.002131
-0.459687,0.014365,9.797073,0.005326,-0.005326,0.002131
-0.373495,0.028730,9.725247,0.006392,0.001065,-0.008522
-0.430956,0.035913,9.746795,0.004261,0.004261,0.004261
-0.438139,0.014365,9.761160,0.007457,-0.004261,0.001065
-0.402226,0.093374,9.804255,0.009588,-0.007457,-0.001065
-0.423774,-0.079009,9.768343,0.004261,0.003196,-0.005326
-0.409408,-0.050278,9.696517,0.004261,-0.006392,-0.007457
-0.351948,0.007183,9.710882,0.003196,-0.009588,0.004261
-0.395043,0.035913,9.782708,0.001065,-0.003196,0.002131
-0.359130,0.064643,9.782708,0.006392,0.002131,-0.006392
-0.430956,-0.014365,9.761160,0.007457,0.005326,-0.001065
-0.395043,0.021548,9.753978,0.003196,-0.003196,-0.002131
-0.402226,0.035913,9.768343,0.006392,0.002131,-0.008522
-0.366313,0.000000,9.804255,0.010653,-0.003196,0.001065
-0.517148,0.028730,9.761160,0.004261,-0.006392,0.008522
-0.466869,0.035913,9.761160,0.000000,-0.001065,-0.001065
-0.344765,-0.057461,9.718064,0.000000,0.001065,-0.004261
-0.438139,0.057461,9.725247,0.003196,-0.009588,-0.001065
-0.402226,0.079009,9.761160,0.009588,-0.011718,0.001065
-0.366313,0.000000,9.710882,0.006392,0.000000,-0.003196
-0.373495,-0.028730,9.825804,0.001065,-0.003196,-0.001065
-0.430956,0.028730,9.775525,0.002131,0.004261,-0.002131
-0.416591,0.043096,9.703699,0.002131,-0.001065,-0.001065
-0.430956,-0.071826,9.739613,0.007457,-0.004261,0.005326
-0.395043,0.064643,9.789890,0.004261,-0.009588,-0.011718
-0.430956,-0.064643,9.739613,0.006392,0.000000,0.001065
-0.387861,-0.050278,9.746795,0.007457,0.002131,0.011718
-0.409408,-0.021548,9.825804,0.009588,0.003196,0.011718
-0.466869,0.000000,9.789890,0.006392,-0.006392,-0.007457
-0.402226,-0.007183,9.775525,0.006392,-0.006392,-0.008522
-0.423774,0.028730,9.725247,0.003196,0.004261,0.003196
-0.395043,-0.100556,9.739613,0.004261,-0.005326,-0.003196
-0.387861,0.035913,9.825804,0.008522,-0.005326,0.000000
-0.380678,-0.007183,9.703699,0.004261,-0.005326,0.002131
-0.387861,0.000000,9.725247,0.003196,-0.003196,-0.002131
-0.395043,0.035913,9.725247,0.006392,-0.004261,-0.003196
-0.380678,0.021548,9.746795,0.006392,-0.002131,0.002131
-0.373495,0.007183,9.696517,-0.002131,0.000000,0.006392
-0.459687,-0.014365,9.761160,0.001065,-0.001065,0.005326
-0.416591,-0.093374,9.811439,0.010653,-0.007457,-0.009588
-0.430956,0.007183,9.753978,0.003196,-0.006392,-0.010653
-0.502782,0.000000,9.696517,0.000000,-0.007457,-0.010653
-0.409408,-0.021548,9.739613,0.002131,-0.003196,0.000000
-0.445322,0.000000,9.689334,0.005326,0.001065,0.002131
-0.359130,0.057461,9.732430,0.005326,-0.002131,0.008522
-0.459687,0.000000,9.732430,0.005326,-0.012784,0.003196
-0.395043,-0.021548,9.667787,0.010653,-0.006392,0.002131
-0.416591,-0.028730,9.689334,0.007457,0.000000,0.001065
-0.366313,0.064643,9.804255,0.004261,-0.003196,0.000000
-0.438139,-0.043096,9.775525,0.005326,-0.002131,0.001065
-0.438139,0.028730,9.696517,0.002131,0.001065,0.000000
-0.359130,0.028730,9.689334,0.008522,-0.001065,-0.002131
-0.402226,0.028730,9.789890,0.010653,-0.008522,0.002131
-0.301669,0.007183,9.768343,0.008522,-0.005326,-0.002131
-0.409408,0.043096,9.739613,0.003196,0.000000,-0.002131
-0.423774,-0.050278,9.768343,0.002131,0.006392,0.002131
-0.402226,0.007183,9.739613,0.002131,-0.006392,0.001065
-0.459687,0.000000,9.710882,0.004261,-0.005326,0.001065
-0.445322,-0.050278,9.718064,0.002131,-0.002131,0.012784
-0.387861,-0.014365,9.804255,0.002131,-0.004261,0.003196
-0.366313,0.000000,9.753978,0.000000,0.000000,-0.001065
-0.351948,0.000000,9.710882,0.003196,0.001065,0.000000
-0.380678,0.079009,9.739613,0.005326,-0.004261,0.005326
