Channel 1,Channel 2,Channel 3
9.366117,-1.400608,-2.707842
9.366117,-1.443704,-2.693477
9.402030,-1.458069,-2.750938
9.402030,-1.493982,-2.607286
9.394848,-1.371878,-2.693477
9.258378,-1.357512,-2.822764
9.366117,-1.400608,-2.779668
9.373300,-1.515530,-2.722207
9.294291,-1.501164,-2.765303
9.294291,-1.436521,-2.729390
9.323022,-1.436521,-2.750938
9.373300,-1.314417,-2.758120
9.394848,-1.443704,-2.858677
9.351752,-1.443704,-2.750938
9.337387,-1.386243,-2.794033
9.445126,-1.465251,-2.736573
9.301474,-1.472434,-2.722207
9.373300,-1.422156,-2.844312
9.344569,-1.429338,-2.772485
9.315839,-1.436521,-2.779668
9.294291,-1.486799,-2.657564
9.323022,-1.486799,-2.779668
9.351752,-1.450886,-2.786851
9.344569,-1.328782,-2.693477
9.258378,-1.407791,-2.750938
9.272743,-1.393425,-2.758120
9.272743,-1.393425,-2.628834
9.380483,-1.479617,-2.758120
9.308656,-1.429338,-2.650381
9.272743,-1.371878,-2.671929
9.272743,-1.328782,-2.729390
9.294291,-1.371878,-2.686294
9.294291,-1.379060,-2.758120
9.351752,-1.472434,-2.621651
9.337387,-1.328782,-2.765303
9.229648,-1.357512,-2.815581
9.380483,-1.429338,-2.851494
9.301474,-1.522712,-2.772485
9.258378,-1.364695,-2.815581
9.337387,-1.400608,-2.786851
9.394848,-1.429338,-2.707842
9.330204,-1.436521,-2.707842
9.294291,-1.443704,-2.772485
9.265560,-1.450886,-2.750938
9.402030,-1.458069,-2.729390
9.402030,-1.364695,-2.722207
9.409213,-1.357512,-2.758120
9.315839,-1.436521,-2.715025
9.402030,-1.472434,-2.758120
9.351752,-1.386243,-2.736573
9.337387,-1.393425,-2.801216
9.265560,-1.379060,-2.743755
9.394848,-1.350330,-2.693477
9.279925,-1.386243,-2.729390
9.330204,-1.371878,-2.743755
9.430760,-1.364695,-2.614468
9.373300,-1.515530,-2.707842
9.452309,-1.407791,-2.614468
9.330204,-1.458069,-2.671929
9.358934,-1.328782,-2.779668
9.279925,-1.529895,-2.671929
9.258378,-1.565808,-2.722207
9.323022,-1.400608,-2.686294
9.301474,-1.335965,-2.715025
9.344569,-1.350330,-2.693477
9.445126,-1.429338,-2.715025
9.387665,-1.364695,-2.643199
9.394848,-1.343147,-2.628834
9.373300,-1.436521,-2.707842
9.366117,-1.472434,-2.628834
9.409213,-1.407791,-2.736573
9.323022,-1.350330,-2.693477
9.294291,-1.436521,-2.729390
9.430760,-1.493982,-2.765303
9.323022,-1.407791,-2.736573
9.287108,-1.386243,-2.722207
9.323022,-1.479617,-2.750938
9.287108,-1.458069,-2.829947
9.315839,-1.386243,-2.779668
9.366117,-1.364695,-2.829947
9.430760,-1.414973,-2.786851
9.294291,-1.458069,-2.765303
9.301474,-1.472434,-2.750938
9.330204,-1.429338,-2.715025
9.409213,-1.407791,-2.779668
9.416395,-1.429338,-2.758120
9.366117,-1.422156,-2.772485
9.366117,-1.343147,-2.794033
9.351752,-1.350330,-2.758120
9.301474,-1.436521,-2.801216
9.344569,-1.386243,-2.815581
9.373300,-1.371878,-2.722207
9.380483,-1.393425,-2.758120
9.380483,-1.414973,-2.786851
9.279925,-1.400608,-2.715025
9.387665,-1.400608,-2.614468
9.258378,-1.328782,-2.707842
9.358934,-1.450886,-2.707842
9.272743,-1.436521,-2.707842
9.337387,-1.350330,-2.729390
9.294291,-1.271321,-2.779668
9.265560,-1.307234,-2.779668
9.287108,-1.400608,-2.686294
9.308656,-1.450886,-2.743755
9.287108,-1.364695,-2.700660
9.265560,-1.350330,-2.729390
9.337387,-1.407791,-2.707842
9.287108,-1.458069,-2.758120
9.337387,-1.436521,-2.592921
9.308656,-1.364695,-2.715025
9.294291,-1.393425,-2.750938
9.358934,-1.429338,-2.729390
9.315839,-1.465251,-2.686294
9.323022,-1.307234,-2.686294
9.287108,-1.314417,-2.794033
9.323022,-1.429338,-2.772485
9.416395,-1.386243,-2.750938
9.373300,-1.429338,-2.736573
9.358934,-1.335965,-2.779668
9.402030,-1.429338,-2.765303
9.337387,-1.458069,-2.765303
9.279925,-1.458069,-2.743755
9.294291,-1.414973,-2.786851
9.344569,-1.493982,-2.743755
9.351752,-1.443704,-2.743755
9.394848,-1.350330,-2.844312
9.323022,-1.400608,-2.858677
9.351752,-1.422156,-2.794033
9.294291,-1.400608,-2.750938
9.315839,-1.458069,-2.729390
9.445126,-1.407791,-2.758120
9.337387,-1.386243,-2.758120
9.373300,-1.436521,-2.765303
9.473856,-1.458069,-2.743755
9.337387,-1.307234,-2.801216
9.373300,-1.379060,-2.779668
9.323022,-1.429338,-2.750938
9.287108,-1.443704,-2.671929
9.287108,-1.379060,-2.801216
9.308656,-1.256956,-2.765303
9.315839,-1.400608,-2.607286
9.351752,-1.278504,-2.743755
9.315839,-1.479617,-2.729390
9.308656,-1.465251,-2.743755
9.351752,-1.414973,-2.786851
9.351752,-1.393425,-2.758120
9.423578,-1.422156,-2.815581
9.351752,-1.501164,-2.715025
9.351752,-1.443704,-2.794033
9.323022,-1.486799,-2.722207
9.330204,-1.386243,-2.707842
9.315839,-1.371878,-2.750938
9.358934,-1.371878,-2.801216
9.416395,-1.364695,-2.815581
9.337387,-1.407791,-2.801216
9.330204,-1.501164,-2.729390
9.265560,-1.422156,-2.758120
9.437943,-1.314417,-2.693477
9.402030,-1.414973,-2.758120
9.344569,-1.429338,-2.707842
9.351752,-1.350330,-2.729390
9.337387,-1.371878,-2.786851
9.409213,-1.386243,-2.700660
9.366117,-1.393425,-2.693477
9.366117,-1.486799,-2.794033
9.373300,-1.321599,-2.750938
9.294291,-1.343147,-2.779668
9.358934,-1.379060,-2.750938
9.323022,-1.429338,-2.765303
9.337387,-1.422156,-2.722207
9.323022,-1.486799,-2.758120
9.330204,-1.465251,-2.758120
9.394848,-1.407791,-2.801216
9.366117,-1.458069,-2.715025
9.344569,-1.414973,-2.801216
9.394848,-1.386243,-2.657564
9.366117,-1.450886,-2.743755
9.351752,-1.371878,-2.722207
9.387665,-1.343147,-2.808398
9.344569,-1.343147,-2.729390
9.323022,-1.393425,-2.736573
9.351752,-1.414973,-2.765303
9.351752,-1.429338,-2.636016
9.344569,-1.429338,-2.736573
9.301474,-1.328782,-2.808398
9.330204,-1.422156,-2.743755
9.315839,-1.436521,-2.779668
9.387665,-1.414973,-2.729390
9.373300,-1.393425,-2.736573
9.373300,-1.407791,-2.772485
9.323022,-1.422156,-2.729390
9.373300,-1.479617,-2.837129
9.315839,-1.343147,-2.815581
9.351752,-1.393425,-2.801216
9.351752,-1.292869,-2.801216
9.330204,-1.386243,-2.765303
9.430760,-1.472434,-2.786851
9.380483,-1.436521,-2.794033
9.366117,-1.414973,-2.772485
9.351752,-1.400608,-2.750938
9.394848,-1.472434,-2.801216
9.279925,-1.407791,-2.765303
9.308656,-1.328782,-2.786851
9.330204,-1.400608,-2.750938
9.387665,-1.321599,-2.758120
9.323022,-1.429338,-2.801216
9.380483,-1.400608,-2.679112
9.330204,-1.379060,-2.758120
9.380483,-1.386243,-2.693477
9.373300,-1.386243,-2.643199
9.380483,-1.465251,-2.700660
9.330204,-1.350330,-2.736573
9.308656,-1.443704,-2.700660
9.387665,-1.450886,-2.765303
9.380483,-1.515530,-2.837129
9.351752,-1.465251,-2.794033
9.308656,-1.422156,-2.758120
9.308656,-1.537078,-2.794033
9.409213,-1.443704,-2.722207
9.394848,-1.443704,-2.779668
9.402030,-1.465251,-2.786851
9.330204,-1.472434,-2.772485
9.402030,-1.414973,-2.786851
9.323022,-1.400608,-2.794033
9.358934,-1.407791,-2.765303
9.387665,-1.458069,-2.765303
9.323022,-1.414973,-2.801216
9.330204,-1.486799,-2.815581
9.366117,-1.443704,-2.808398
9.394848,-1.436521,-2.750938
9.351752,-1.393425,-2.765303
9.358934,-1.379060,-2.794033
9.344569,-1.429338,-2.808398
9.358934,-1.328782,-2.736573
9.358934,-1.379060,-2.765303
9.330204,-1.371878,-2.729390
9.323022,-1.386243,-2.700660
9.380483,-1.357512,-2.758120
9.416395,-1.386243,-2.750938
9.409213,-1.486799,-2.650381
9.272743,-1.364695,-2.772485
9.265560,-1.343147,-2.815581
9.344569,-1.407791,-2.779668
9.308656,-1.443704,-2.736573
9.330204,-1.400608,-2.736573
9.344569,-1.364695,-2.686294
9.416395,-1.292869,-2.671929
9.337387,-1.335965,-2.585738
9.323022,-1.371878,-2.736573
9.287108,-1.393425,-2.671929
9.308656,-1.393425,-2.794033
9.409213,-1.422156,-2.758120
9.301474,-1.414973,-2.758120
9.287108,-1.350330,-2.700660
9.323022,-1.386243,-2.715025
9.294291,-1.493982,-2.722207
9.279925,-1.450886,-2.722207
9.308656,-1.386243,-2.779668
9.301474,-1.350330,-2.693477
9.315839,-1.357512,-2.729390
9.323022,-1.379060,-2.736573
9.308656,-1.400608,-2.715025
9.236830,-1.328782,-2.722207
9.373300,-1.379060,-2.779668
9.301474,-1.429338,-2.736573
9.344569,-1.357512,-2.772485
9.308656,-1.364695,-2.722207
9.287108,-1.450886,-2.693477
9.323022,-1.429338,-2.794033
9.394848,-1.414973,-2.765303
9.344569,-1.364695,-2.715025
9.358934,-1.429338,-2.679112
9.380483,-1.350330,-2.715025
9.337387,-1.407791,-2.822764
9.294291,-1.335965,-2.765303
9.330204,-1.465251,-2.750938
9.409213,-1.429338,-2.801216
9.351752,-1.350330,-2.786851
9.344569,-1.450886,-2.858677
9.294291,-1.493982,-2.758120
9.344569,-1.386243,-2.729390
9.373300,-1.343147,-2.693477
