Channel 1,Channel 2,Channel 3
-1.149217,4.560954,8.769960
-1.235408,4.517859,8.712500
-1.285686,4.575319,8.726865
-1.321599,4.510676,8.791509
-1.221043,4.589684,8.769960
-1.242591,4.661511,8.820239
-1.271321,4.647145,8.805874
-1.285686,4.639963,8.726865
-1.285686,4.611232,8.683769
-1.242591,4.596867,8.834604
-1.249773,4.575319,8.719683
-1.292869,4.639963,8.777143
-1.343147,4.654328,8.748413
-1.213860,4.553771,8.777143
-1.177947,4.553771,8.734048
-1.199495,4.553771,8.690952
-1.213860,4.639963,8.662222
-1.292869,4.718972,8.690952
-1.249773,4.596867,8.769960
-1.206678,4.604050,8.805874
-1.235408,4.553771,8.741230
-1.256956,4.611232,8.719683
-1.271321,4.596867,8.690952
-1.206678,4.604050,8.834604
-1.221043,4.546589,8.777143
-1.285686,4.589684,8.784326
-1.221043,4.596867,8.791509
-1.264138,4.582502,8.863335
-1.185130,4.632780,8.676587
-1.300052,4.496311,8.719683
-1.285686,4.553771,8.748413
-1.256956,4.568137,8.805874
-1.292869,4.596867,8.834604
-1.364695,4.589684,8.755595
-1.314417,4.525041,8.755595
-1.292869,4.467580,8.755595
-1.307234,4.560954,8.748413
-1.199495,4.525041,8.762778
-1.221043,4.474763,8.798691
-1.343147,4.683059,8.755595
-1.300052,4.618415,8.856153
-1.170765,4.560954,8.813056
-1.321599,4.474763,8.662222
-1.350330,4.553771,8.690952
-1.213860,4.582502,8.698134
-1.278504,4.654328,8.669404
-1.364695,4.675876,8.748413
-1.386243,4.589684,8.755595
-1.321599,4.582502,8.712500
-1.292869,4.568137,8.769960
-1.242591,4.546589,8.777143
-1.335965,4.546589,8.784326
-1.271321,4.625597,8.805874
-1.221043,4.575319,8.827422
-1.170765,4.560954,8.798691
-1.242591,4.632780,8.734048
-1.221043,4.654328,8.791509
-1.278504,4.639963,8.748413
-1.264138,4.668694,8.676587
-1.235408,4.647145,8.633492
-1.185130,4.654328,8.719683
-1.228225,4.596867,8.669404
-1.292869,4.647145,8.755595
-1.307234,4.611232,8.755595
-1.228225,4.625597,8.748413
-1.285686,4.560954,8.698134
-1.307234,4.553771,8.662222
-1.271321,4.611232,8.726865
-1.249773,4.639963,8.777143
-1.292869,4.625597,8.805874
-1.213860,4.639963,8.669404
-1.307234,4.575319,8.683769
-1.357512,4.639963,8.719683
-1.335965,4.654328,8.640674
-1.328782,4.575319,8.805874
-1.235408,4.596867,8.676587
-1.242591,4.568137,8.705317
-1.249773,4.575319,8.791509
-1.285686,4.539406,8.705317
-1.256956,4.560954,8.734048
-1.271321,4.596867,8.741230
-1.278504,4.568137,8.690952
-1.264138,4.575319,8.705317
-1.278504,4.596867,8.813056
-1.256956,4.661511,8.690952
-1.314417,4.654328,8.805874
-1.235408,4.546589,8.705317
-1.256956,4.618415,8.719683
-1.235408,4.568137,8.698134
-1.221043,4.532224,8.734048
-1.278504,4.618415,8.705317
-1.335965,4.604050,8.784326
-1.256956,4.589684,8.683769
-1.300052,4.611232,8.669404
-1.228225,4.604050,8.719683
-1.285686,4.553771,8.726865
-1.235408,4.611232,8.712500
-1.278504,4.661511,8.741230
-1.249773,4.654328,8.683769
-1.285686,4.654328,8.791509
-1.321599,4.632780,8.741230
-1.213860,4.596867,8.683769
-1.221043,4.575319,8.690952
-1.221043,4.539406,8.712500
-1.206678,4.553771,8.734048
-1.206678,4.575319,8.805874
-1.285686,4.654328,8.705317
-1.249773,4.582502,8.755595
-1.249773,4.568137,8.683769
-1.185130,4.647145,8.769960
-1.228225,4.517859,8.748413
-1.292869,4.625597,8.683769
-1.249773,4.675876,8.741230
-1.228225,4.611232,8.705317
-1.264138,4.661511,8.748413
-1.256956,4.661511,8.712500
-1.213860,4.596867,8.777143
-1.285686,4.560954,8.762778
-1.371878,4.596867,8.762778
-1.249773,4.632780,8.719683
-1.185130,4.596867,8.726865
-1.249773,4.604050,8.798691
-1.242591,4.618415,8.762778
-1.271321,4.683059,8.813056
-1.256956,4.560954,8.719683
-1.307234,4.553771,8.755595
-1.278504,4.632780,8.683769
-1.264138,4.560954,8.683769
-1.199495,4.618415,8.690952
-1.242591,4.589684,8.705317
-1.163582,4.675876,8.813056
-1.213860,4.510676,8.690952
-1.170765,4.596867,8.712500
-1.379060,4.589684,8.655039
-1.264138,4.517859,8.769960
-1.264138,4.539406,8.719683
-1.206678,4.539406,8.834604
-1.314417,4.560954,8.626308
-1.221043,4.503493,8.741230
-1.185130,4.467580,8.676587
-1.314417,4.539406,8.741230
-1.285686,4.675876,8.611943
-1.343147,4.675876,8.640674
-1.221043,4.546589,8.676587
-1.235408,4.568137,8.719683
-1.343147,4.553771,8.741230
-1.292869,4.675876,8.748413
-1.271321,4.532224,8.719683
-1.256956,4.611232,8.734048
-1.285686,4.546589,8.741230
-1.314417,4.604050,8.712500
-1.264138,4.539406,8.683769
-1.307234,4.546589,8.762778
-1.256956,4.525041,8.798691
-1.256956,4.553771,8.762778
-1.271321,4.704607,8.611943
-1.285686,4.553771,8.748413
-1.321599,4.589684,8.719683
-1.213860,4.639963,8.698134
-1.321599,4.632780,8.791509
-1.213860,4.632780,8.841787
-1.343147,4.647145,8.820239
-1.249773,4.611232,8.762778
-1.292869,4.575319,8.676587
-1.271321,4.596867,8.748413
-1.350330,4.661511,8.741230
-1.242591,4.546589,8.805874
-1.335965,4.661511,8.734048
-1.321599,4.647145,8.827422
-1.278504,4.546589,8.784326
-1.242591,4.582502,8.719683
-1.192312,4.639963,8.741230
-1.307234,4.568137,8.820239
-1.278504,4.675876,8.791509
-1.242591,4.654328,8.769960
-1.285686,4.575319,8.755595
-1.242591,4.668694,8.762778
-1.271321,4.553771,8.698134
-1.185130,4.553771,8.698134
-1.242591,4.560954,8.712500
-1.321599,4.654328,8.669404
-1.364695,4.611232,8.777143
-1.185130,4.611232,8.669404
-1.206678,4.718972,8.590396
-1.221043,4.589684,8.791509
-1.328782,4.604050,8.712500
-1.235408,4.553771,8.748413
-1.206678,4.611232,8.719683
-1.163582,4.582502,8.762778
-1.307234,4.589684,8.683769
-1.414973,4.632780,8.647857
-1.271321,4.654328,8.741230
-1.350330,4.632780,8.683769
-1.271321,4.539406,8.669404
-1.285686,4.582502,8.705317
-1.228225,4.661511,8.647857
-1.192312,4.668694,8.590396
-1.271321,4.683059,8.712500
-1.264138,4.532224,8.712500
-1.242591,4.525041,8.741230
-1.242591,4.532224,8.791509
-1.335965,4.560954,8.726865
-1.292869,4.560954,8.698134
-1.249773,4.632780,8.690952
-1.314417,4.575319,8.726865
-1.242591,4.647145,8.748413
-1.256956,4.625597,8.698134
-1.321599,4.611232,8.798691
-1.213860,4.596867,8.705317
-1.228225,4.647145,8.726865
-1.256956,4.546589,8.705317
-1.221043,4.611232,8.755595
-1.256956,4.568137,8.712500
-1.271321,4.560954,8.748413
-1.335965,4.639963,8.669404
-1.213860,4.611232,8.769960
-1.271321,4.604050,8.734048
-1.242591,4.632780,8.655039
-1.285686,4.611232,8.784326
-1.386243,4.661511,8.748413
-1.285686,4.539406,8.755595
-1.228225,4.575319,8.683769
-1.285686,4.661511,8.647857
-1.285686,4.683059,8.784326
-1.278504,4.632780,8.834604
-1.249773,4.611232,8.741230
-1.213860,4.525041,8.741230
-1.278504,4.575319,8.805874
-1.256956,4.568137,8.741230
-1.242591,4.661511,8.741230
-1.292869,4.539406,8.841787
-1.271321,4.539406,8.769960
-1.163582,4.532224,8.805874
-1.213860,4.560954,8.820239
-1.321599,4.546589,8.690952
-1.292869,4.582502,8.755595
-1.264138,4.596867,8.698134
-1.206678,4.625597,8.676587
-1.206678,4.611232,8.698134
-1.292869,4.618415,8.676587
-1.335965,4.553771,8.705317
-1.271321,4.553771,8.741230
-1.256956,4.625597,8.762778
-1.242591,4.618415,8.820239
-1.256956,4.661511,8.712500
-1.235408,4.539406,8.741230
-1.199495,4.539406,8.726865
-1.235408,4.575319,8.762778
-1.300052,4.582502,8.762778
-1.271321,4.625597,8.784326
-1.242591,4.589684,8.705317
-1.192312,4.582502,8.741230
-1.328782,4.596867,8.719683
-1.235408,4.546589,8.690952
-1.242591,4.546589,8.719683
-1.249773,4.596867,8.755595
-1.328782,4.683059,8.762778
-1.256956,4.647145,8.906430
-1.228225,4.568137,8.755595
-1.285686,4.553771,8.734048
-1.249773,4.575319,8.662222
-1.249773,4.604050,8.705317
-1.292869,4.611232,8.777143
-1.249773,4.625597,8.698134
-1.278504,4.661511,8.755595
-1.271321,4.647145,8.676587
-1.292869,4.589684,8.640674
-1.321599,4.589684,8.748413
-1.271321,4.604050,8.705317
-1.235408,4.589684,8.748413
-1.271321,4.654328,8.762778
-1.256956,4.611232,8.676587
-1.206678,4.668694,8.755595
-1.228225,4.618415,8.712500
-1.256956,4.639963,8.791509
-1.264138,4.596867,8.726865
-1.292869,4.539406,8.755595
-1.256956,4.632780,8.698134
-1.242591,4.560954,8.712500
-1.185130,4.568137,8.748413
-1.256956,4.517859,8.734048
-1.242591,4.546589,8.791509
-1.235408,4.525041,8.690952
-1.328782,4.611232,8.755595
-1.307234,4.654328,8.748413
-1.328782,4.517859,8.762778
-1.221043,4.553771,8.698134
-1.221043,4.532224,8.633492
-1.292869,4.596867,8.698134
-1.242591,4.596867,8.690952
-1.242591,4.496311,8.712500
-1.300052,4.639963,8.755595
-1.271321,4.611232,8.734048
-1.307234,4.582502,8.755595
-1.321599,4.654328,8.712500
-1.228225,4.604050,8.755595
-1.271321,4.604050,8.712500
-1.271321,4.683059,8.748413
-1.300052,4.560954,8.748413
-1.256956,4.575319,8.662222
-1.228225,4.668694,8.705317
-1.228225,4.618415,8.755595
-1.343147,4.618415,8.741230
-1.278504,4.575319,8.741230
-1.292869,4.582502,8.755595
-1.321599,4.582502,8.640674
-1.321599,4.604050,8.798691
-1.235408,4.654328,8.748413
-1.300052,4.625597,8.741230
-1.292869,4.582502,8.726865
-1.242591,4.632780,8.669404
-1.300052,4.639963,8.719683
-1.213860,4.668694,8.683769
-1.278504,4.654328,8.683769
-1.221043,4.611232,8.748413
-1.300052,4.575319,8.698134
-1.213860,4.510676,8.662222
-1.264138,4.582502,8.647857
-1.292869,4.596867,8.712500
-1.328782,4.632780,8.762778
-1.264138,4.625597,8.748413
-1.285686,4.625597,8.734048
-1.292869,4.582502,8.705317
-1.307234,4.611232,8.655039
-1.314417,4.596867,8.669404
-1.350330,4.654328,8.734048
-1.350330,4.654328,8.683769
-1.235408,4.647145,8.633492
-1.379060,4.618415,8.726865
-1.292869,4.639963,8.712500
-1.249773,4.604050,8.669404
-1.249773,4.639963,8.626308
-1.271321,4.604050,8.698134
-1.185130,4.532224,8.734048
-1.271321,4.604050,8.734048
-1.292869,4.560954,8.719683
-1.371878,4.560954,8.604761
-1.221043,4.632780,8.698134
-1.314417,4.460398,8.734048
-1.328782,4.568137,8.726865
-1.314417,4.625597,8.791509
-1.278504,4.611232,8.791509
-1.307234,4.568137,8.791509
-1.228225,4.568137,8.813056
-1.221043,4.503493,8.856153
-1.285686,4.525041,8.705317
-1.278504,4.560954,8.705317
-1.364695,4.575319,8.748413
-1.271321,4.560954,8.798691
-1.170765,4.496311,8.669404
-1.185130,4.510676,8.712500
-1.292869,4.560954,8.712500
-1.235408,4.625597,8.690952
-1.235408,4.618415,8.762778
-1.285686,4.596867,8.734048
-1.228225,4.596867,8.762778
-1.321599,4.582502,8.755595
-1.242591,4.683059,8.690952
-1.292869,4.560954,8.734048
-1.213860,4.539406,8.827422
-1.256956,4.568137,8.777143
-1.256956,4.575319,8.647857
-1.292869,4.553771,8.777143
-1.221043,4.532224,8.791509
-1.228225,4.604050,8.734048
-1.292869,4.546589,8.805874
-1.285686,4.647145,8.705317
-1.264138,4.596867,8.655039
-1.285686,4.618415,8.748413
-1.314417,4.596867,8.655039
-1.249773,4.625597,8.633492
-1.249773,4.604050,8.690952
-1.314417,4.668694,8.719683
-1.264138,4.568137,8.719683
-1.213860,4.568137,8.798691
-1.242591,4.596867,8.734048
-1.256956,4.589684,8.726865
-1.235408,4.553771,8.734048
-1.264138,4.481946,8.655039
-1.185130,4.625597,8.719683
-1.292869,4.718972,8.755595
-1.271321,4.683059,8.712500
-1.314417,4.611232,8.769960
-1.206678,4.639963,8.626308
-1.285686,4.575319,8.633492
-1.307234,4.690241,8.769960
-1.235408,4.510676,8.726865
-1.228225,4.661511,8.769960
-1.235408,4.553771,8.748413
-1.221043,4.668694,8.705317
-1.256956,4.604050,8.734048
-1.199495,4.618415,8.813056
-1.335965,4.582502,8.726865
-1.350330,4.690241,8.647857
-1.350330,4.611232,8.655039
-1.307234,4.546589,8.719683
-1.278504,4.560954,8.676587
-1.256956,4.582502,8.712500
-1.271321,4.546589,8.741230
-1.314417,4.568137,8.798691
-1.235408,4.625597,8.848969
-1.228225,4.510676,8.784326
-1.328782,4.546589,8.791509
-1.307234,4.611232,8.719683
-1.271321,4.625597,8.734048
-1.271321,4.647145,8.777143
-1.321599,4.596867,8.726865
-1.343147,4.611232,8.741230
-1.278504,4.424485,8.755595
-1.278504,4.589684,8.741230
-1.321599,4.618415,8.698134
-1.307234,4.611232,8.712500
-1.242591,4.625597,8.769960
-1.264138,4.553771,8.669404
-1.242591,4.589684,8.798691
-1.256956,4.575319,8.741230
-1.264138,4.604050,8.748413
-1.300052,4.532224,8.726865
-1.328782,4.589684,8.784326
-1.300052,4.589684,8.798691
-1.328782,4.589684,8.748413
-1.221043,4.546589,8.669404
-1.300052,4.647145,8.619126
-1.242591,4.632780,8.683769
-1.228225,4.553771,8.769960
-1.192312,4.596867,8.719683
-1.242591,4.611232,8.784326
-1.300052,4.632780,8.748413
-1.256956,4.517859,8.834604
-1.314417,4.596867,8.655039
-1.321599,4.589684,8.705317
-1.249773,4.639963,8.755595
-1.278504,4.611232,8.712500
-1.307234,4.704607,8.741230
-1.271321,4.639963,8.683769
-1.278504,4.618415,8.676587
-1.292869,4.661511,8.669404
-1.321599,4.589684,8.848969
-1.335965,4.647145,8.813056
-1.264138,4.618415,8.769960
-1.170765,4.582502,8.791509
-1.199495,4.532224,8.777143
