Channel 1,Channel 2,Channel 3
6.335058,-4.209007,6.363788
6.220136,-4.122815,6.299145
6.277597,-4.216189,6.342240
6.335058,-4.201824,6.277597
6.234501,-4.144363,6.471527
6.256049,-4.288015,6.414066
6.212954,-4.194642,6.299145
6.277597,-4.230555,6.378153
6.291962,-4.266468,6.220136
6.248867,-4.252102,6.291962
6.313510,-4.216189,6.370971
6.320693,-4.273650,6.370971
6.313510,-4.180276,6.335058
6.256049,-4.158728,6.306327
6.256049,-4.151546,6.435614
6.306327,-4.216189,6.421249
6.234501,-4.137180,6.414066
6.220136,-4.158728,6.421249
6.234501,-4.180276,6.428432
6.256049,-4.144363,6.306327
6.284780,-4.173094,6.306327
6.313510,-4.194642,6.284780
6.270414,-4.165911,6.363788
6.291962,-4.216189,6.349423
6.205771,-4.230555,6.342240
6.263232,-4.223372,6.399701
6.320693,-4.252102,6.370971
6.270414,-4.259285,6.349423
6.191406,-4.237737,6.299145
6.177041,-4.216189,6.414066
6.220136,-4.237737,6.291962
6.177041,-4.223372,6.327875
6.291962,-4.252102,6.421249
6.256049,-4.280833,6.327875
6.212954,-4.252102,6.414066
6.234501,-4.230555,6.335058
6.291962,-4.115633,6.363788
6.220136,-4.216189,6.342240
6.263232,-4.266468,6.464345
6.191406,-4.194642,6.356606
6.263232,-4.151546,6.284780
6.299145,-4.288015,6.356606
6.306327,-4.288015,6.335058
6.320693,-4.316746,6.342240
6.313510,-4.244920,6.248867
6.270414,-4.273650,6.363788
6.320693,-4.230555,6.370971
6.270414,-4.223372,6.320693
6.205771,-4.216189,6.399701
6.227319,-4.209007,6.320693
6.263232,-4.194642,6.342240
6.270414,-4.209007,6.299145
6.299145,-4.158728,6.270414
6.306327,-4.266468,6.284780
6.277597,-4.209007,6.299145
6.241684,-4.216189,6.212954
6.291962,-4.194642,6.177041
6.177041,-4.151546,6.227319
6.306327,-4.288015,6.241684
6.291962,-4.201824,6.248867
6.291962,-4.122815,6.212954
6.212954,-4.201824,6.248867
6.234501,-4.237737,6.148310
6.234501,-4.115633,6.284780
6.241684,-4.216189,6.349423
6.263232,-4.165911,6.392519
6.256049,-4.259285,6.449979
6.342240,-4.237737,6.363788
6.349423,-4.180276,6.284780
6.248867,-4.259285,6.335058
6.227319,-4.309563,6.385336
6.248867,-4.122815,6.385336
6.299145,-4.259285,6.291962
6.241684,-4.209007,6.291962
6.205771,-4.201824,6.363788
6.291962,-4.230555,6.320693
6.220136,-4.223372,6.320693
6.220136,-4.209007,6.363788
6.212954,-4.194642,6.299145
6.277597,-4.209007,6.291962
6.277597,-4.223372,6.299145
6.320693,-4.209007,6.320693
6.241684,-4.237737,6.313510
6.227319,-4.280833,6.270414
6.263232,-4.158728,6.284780
6.270414,-4.216189,6.320693
6.241684,-4.244920,6.370971
6.306327,-4.288015,6.370971
6.284780,-4.194642,6.349423
6.256049,-4.266468,6.428432
6.184223,-4.259285,6.428432
6.299145,-4.273650,6.399701
6.291962,-4.230555,6.356606
6.241684,-4.151546,6.392519
6.270414,-4.288015,6.385336
6.263232,-4.209007,6.342240
6.256049,-4.302381,6.349423
6.327875,-4.187459,6.320693
6.299145,-4.223372,6.378153
6.198588,-4.209007,6.270414
6.205771,-4.180276,6.399701
6.220136,-4.266468,6.270414
6.241684,-4.230555,6.277597
6.327875,-4.144363,6.335058
6.277597,-4.223372,6.421249
6.313510,-4.209007,6.370971
6.191406,-4.194642,6.256049
6.241684,-4.309563,6.406884
6.177041,-4.237737,6.306327
