Channel 1,Channel 2,Channel 3
-0.021548,-6.536170,7.362170
0.021548,-6.500257,7.333440
0.000000,-6.528988,7.340622
-0.014365,-6.528988,7.333440
-0.014365,-6.471527,7.232883
-0.007183,-6.550536,7.376535
-0.035913,-6.550536,7.354988
-0.007183,-6.507440,7.311892
-0.064643,-6.485892,7.311892
-0.050278,-6.521805,7.333440
-0.035913,-6.528988,7.398083
-0.035913,-6.572083,7.319075
0.014365,-6.528988,7.376535
-0.122104,-6.507440,7.362170
-0.086191,-6.557718,7.254431
-0.086191,-6.550536,7.326257
-0.021548,-6.500257,7.369353
-0.093374,-6.521805,7.304709
-0.071826,-6.543353,7.354988
-0.093374,-6.593631,7.290344
-0.071826,-6.521805,7.268796
0.021548,-6.543353,7.218518
-0.035913,-6.564901,7.326257
-0.021548,-6.629545,7.319075
-0.129287,-6.579266,7.326257
-0.050278,-6.658275,7.354988
-0.079009,-6.536170,7.326257
-0.050278,-6.550536,7.275979
-0.021548,-6.536170,7.319075
-0.043096,-6.528988,7.369353
-0.050278,-6.572083,7.383718
-0.050278,-6.471527,7.362170
-0.086191,-6.536170,7.311892
-0.028730,-6.543353,7.405266
-0.043096,-6.593631,7.362170
-0.007183,-6.564901,7.426814
0.007183,-6.572083,7.433996
-0.035913,-6.536170,7.477092
0.014365,-6.557718,7.347805
-0.007183,-6.586449,7.347805
-0.050278,-6.550536,7.390901
-0.028730,-6.579266,7.462727
-0.057461,-6.572083,7.333440
-0.035913,-6.550536,7.304709
-0.122104,-6.572083,7.369353
-0.071826,-6.600814,7.290344
-0.050278,-6.557718,7.261614
-0.035913,-6.636727,7.354988
-0.093374,-6.572083,7.268796
0.014365,-6.607996,7.340622
-0.057461,-6.528988,7.369353
-0.035913,-6.500257,7.326257
-0.064643,-6.536170,7.326257
-0.028730,-6.665458,7.362170
-0.093374,-6.528988,7.275979
-0.028730,-6.550536,7.340622
-0.028730,-6.500257,7.333440
-0.093374,-6.557718,7.383718
0.021548,-6.564901,7.376535
-0.043096,-6.593631,7.398083
-0.071826,-6.550536,7.383718
-0.050278,-6.679823,7.247249
-0.114922,-6.572083,7.340622
-0.057461,-6.593631,7.333440
-0.014365,-6.579266,7.340622
-0.050278,-6.536170,7.354988
-0.043096,-6.557718,7.304709
-0.057461,-6.521805,7.419631
-0.064643,-6.521805,7.354988
-0.014365,-6.536170,7.340622
-0.028730,-6.600814,7.398083
-0.028730,-6.586449,7.240066
-0.064643,-6.564901,7.326257
-0.057461,-6.528988,7.354988
-0.050278,-6.593631,7.304709
-0.093374,-6.543353,7.254431
-0.107739,-6.564901,7.333440
-0.007183,-6.507440,7.297527
-0.086191,-6.564901,7.333440
-0.035913,-6.528988,7.326257
-0.114922,-6.557718,7.405266
-0.107739,-6.550536,7.319075
-0.093374,-6.493075,7.433996
-0.028730,-6.593631,7.247249
-0.064643,-6.607996,7.319075
-0.050278,-6.550536,7.376535
-0.114922,-6.493075,7.347805
-0.050278,-6.493075,7.319075
-0.043096,-6.543353,7.405266
-0.079009,-6.572083,7.419631
-0.079009,-6.572083,7.441179
-0.071826,-6.572083,7.369353
-0.007183,-6.615179,7.362170
-0.043096,-6.564901,7.369353
-0.035913,-6.528988,7.477092
-0.064643,-6.586449,7.362170
-0.007183,-6.607996,7.290344
-0.050278,-6.600814,7.354988
-0.028730,-6.586449,7.204153
-0.021548,-6.593631,7.311892
0.014365,-6.586449,7.376535
-0.071826,-6.557718,7.347805
-0.050278,-6.572083,7.347805
-0.014365,-6.514623,7.225701
-0.014365,-6.572083,7.275979
-0.021548,-6.521805,7.283162
-0.122104,-6.579266,7.240066
-0.035913,-6.514623,7.261614
-0.064643,-6.550536,7.290344
-0.057461,-6.550536,7.311892
-0.057461,-6.564901,7.240066
-0.064643,-6.528988,7.254431
-0.021548,-6.507440,7.211336
-0.043096,-6.543353,7.283162
-0.064643,-6.622362,7.333440
-0.093374,-6.536170,7.218518
-0.071826,-6.572083,7.311892
-0.021548,-6.471527,7.390901
-0.079009,-6.521805,7.369353
-0.050278,-6.536170,7.333440
-0.093374,-6.615179,7.311892
-0.064643,-6.528988,7.354988
-0.057461,-6.557718,7.347805
-0.071826,-6.536170,7.369353
-0.007183,-6.593631,7.319075
0.014365,-6.521805,7.376535
-0.035913,-6.550536,7.369353
-0.079009,-6.528988,7.354988
0.043096,-6.600814,7.290344
0.007183,-6.622362,7.347805
-0.035913,-6.507440,7.290344
-0.035913,-6.550536,7.283162
-0.007183,-6.493075,7.333440
0.000000,-6.521805,7.354988
-0.050278,-6.572083,7.405266
-0.035913,-6.600814,7.283162
-0.021548,-6.629545,7.304709
-0.043096,-6.643910,7.290344
-0.064643,-6.593631,7.333440
-0.035913,-6.550536,7.247249
-0.035913,-6.514623,7.290344
0.014365,-6.564901,7.275979
-0.057461,-6.550536,7.333440
-0.086191,-6.629545,7.369353
-0.050278,-6.622362,7.383718
-0.086191,-6.521805,7.369353
-0.064643,-6.500257,7.319075
-0.035913,-6.629545,7.304709
0.050278,-6.528988,7.311892
0.007183,-6.528988,7.333440
-0.057461,-6.514623,7.232883
-0.021548,-6.586449,7.283162
-0.021548,-6.579266,7.347805
-0.071826,-6.629545,7.441179
0.007183,-6.586449,7.362170
-0.007183,-6.557718,7.362170
-0.007183,-6.586449,7.319075
-0.014365,-6.543353,7.376535
-0.150835,-6.485892,7.419631
-0.114922,-6.514623,7.426814
-0.100556,-6.557718,7.441179
-0.079009,-6.586449,7.426814
0.007183,-6.615179,7.383718
-0.014365,-6.694188,7.261614
0.014365,-6.636727,7.311892
0.007183,-6.600814,7.211336
-0.050278,-6.536170,7.218518
0.028730,-6.514623,7.247249
-0.028730,-6.550536,7.297527
0.050278,-6.651093,7.333440
-0.064643,-6.514623,7.347805
-0.107739,-6.643910,7.268796
-0.021548,-6.550536,7.333440
-0.021548,-6.600814,7.383718
-0.100556,-6.593631,7.340622
-0.093374,-6.600814,7.383718
-0.050278,-6.629545,7.527370
-0.014365,-6.557718,7.412448
-0.021548,-6.543353,7.426814
-0.050278,-6.550536,7.433996
-0.050278,-6.550536,7.369353
-0.071826,-6.521805,7.419631
-0.086191,-6.622362,7.376535
-0.093374,-6.586449,7.419631
-0.136469,-6.615179,7.398083
-0.143652,-6.607996,7.319075
-0.043096,-6.536170,7.290344
-0.057461,-6.600814,7.261614
-0.057461,-6.615179,7.240066
-0.071826,-6.507440,7.175423
-0.100556,-6.564901,7.225701
-0.122104,-6.622362,7.275979
-0.014365,-6.593631,7.175423
-0.129287,-6.521805,7.268796
-0.021548,-6.586449,7.347805
0.014365,-6.550536,7.225701
0.021548,-6.572083,7.204153
0.000000,-6.687006,7.218518
-0.071826,-6.528988,7.311892
-0.150835,-6.514623,7.326257
-0.050278,-6.521805,7.297527
-0.028730,-6.507440,7.297527
-0.035913,-6.579266,7.304709
-0.014365,-6.514623,7.412448
-0.100556,-6.550536,7.433996
-0.086191,-6.507440,7.383718
-0.064643,-6.507440,7.340622
0.007183,-6.500257,7.297527
-0.057461,-6.557718,7.340622
-0.050278,-6.550536,7.340622
-0.064643,-6.543353,7.433996
-0.071826,-6.557718,7.412448
-0.043096,-6.485892,7.347805
-0.028730,-6.500257,7.362170
-0.035913,-6.543353,7.405266
-0.021548,-6.557718,7.333440
-0.028730,-6.564901,7.232883
-0.064643,-6.600814,7.311892
-0.050278,-6.586449,7.268796
0.014365,-6.557718,7.376535
-0.021548,-6.528988,7.275979
0.035913,-6.564901,7.297527
-0.028730,-6.493075,7.347805
-0.028730,-6.543353,7.304709
0.000000,-6.536170,7.398083
-0.035913,-6.607996,7.383718
-0.028730,-6.607996,7.211336
-0.014365,-6.593631,7.326257
-0.043096,-6.622362,7.218518
-0.035913,-6.528988,7.319075
0.000000,-6.586449,7.412448
-0.079009,-6.536170,7.362170
-0.057461,-6.557718,7.433996
0.028730,-6.500257,7.419631
-0.079009,-6.478710,7.362170
-0.021548,-6.572083,7.412448
-0.050278,-6.550536,7.412448
-0.007183,-6.579266,7.426814
-0.007183,-6.586449,7.433996
-0.028730,-6.679823,7.311892
0.021548,-6.665458,7.290344
-0.028730,-6.579266,7.354988
0.014365,-6.528988,7.326257
-0.014365,-6.572083,7.347805
-0.043096,-6.629545,7.254431
-0.071826,-6.528988,7.362170
-0.043096,-6.586449,7.283162
-0.014365,-6.593631,7.290344
-0.107739,-6.521805,7.268796
-0.035913,-6.528988,7.211336
-0.014365,-6.579266,7.362170
-0.014365,-6.507440,7.390901
-0.035913,-6.536170,7.455544
-0.021548,-6.550536,7.448361
-0.007183,-6.485892,7.297527
-0.014365,-6.615179,7.347805
0.043096,-6.536170,7.326257
0.043096,-6.536170,7.412448
0.014365,-6.557718,7.347805
-0.014365,-6.622362,7.383718
-0.079009,-6.564901,7.354988
-0.050278,-6.600814,7.283162
-0.035913,-6.593631,7.218518
0.000000,-6.543353,7.261614
-0.107739,-6.557718,7.290344
-0.057461,-6.528988,7.297527
