Channel 1,Channel 2,Channel 3
-0.596156,-2.140416,-9.538500
-0.538695,-2.154782,-9.538500
-0.560243,-2.197877,-9.409213
-0.567426,-2.154782,-9.524135
-0.596156,-2.090138,-9.473856
-0.553061,-2.126051,-9.459491
-0.581791,-2.140416,-9.423578
-0.617704,-2.104503,-9.452309
-0.588974,-2.154782,-9.437943
-0.617704,-2.169147,-9.459491
-0.646434,-2.104503,-9.502586
-0.538695,-2.090138,-9.437943
-0.646434,-2.169147,-9.509769
-0.624887,-2.075773,-9.552865
-0.588974,-2.118869,-9.466674
-0.632069,-2.104503,-9.495404
-0.682347,-2.054225,-9.488221
-0.560243,-2.111686,-9.560047
-0.624887,-2.082955,-9.516952
-0.596156,-2.147599,-9.574412
-0.646434,-2.197877,-9.423578
-0.610521,-2.118869,-9.531317
-0.596156,-2.133234,-9.567230
-0.675165,-2.140416,-9.423578
-0.632069,-2.169147,-9.344569
-0.596156,-2.061408,-9.387665
-0.660800,-2.126051,-9.366117
-0.639252,-2.176329,-9.437943
-0.624887,-2.154782,-9.531317
-0.689530,-2.082955,-9.545682
-0.653617,-2.082955,-9.502586
-0.538695,-2.140416,-9.545682
-0.538695,-2.068590,-9.595961
-0.660800,-2.147599,-9.409213
-0.632069,-2.090138,-9.473856
-0.617704,-1.989582,-9.437943
-0.610521,-2.075773,-9.481039
-0.689530,-2.075773,-9.488221
-0.624887,-2.082955,-9.409213
-0.531513,-2.111686,-9.402030
-0.588974,-2.169147,-9.387665
-0.689530,-2.126051,-9.466674
-0.610521,-2.147599,-9.373300
-0.581791,-2.075773,-9.459491
-0.617704,-2.133234,-9.445126
-0.646434,-2.104503,-9.466674
-0.667982,-2.111686,-9.394848
-0.624887,-2.068590,-9.466674
-0.639252,-2.133234,-9.481039
-0.660800,-2.226608,-9.394848
-0.574608,-2.039860,-9.423578
-0.639252,-2.140416,-9.516952
-0.531513,-2.140416,-9.481039
-0.588974,-2.161964,-9.538500
-0.574608,-2.161964,-9.437943
-0.624887,-2.212242,-9.416395
-0.553061,-2.169147,-9.409213
-0.538695,-2.176329,-9.495404
-0.517148,-2.161964,-9.473856
-0.682347,-2.147599,-9.531317
-0.696713,-2.068590,-9.437943
-0.653617,-2.226608,-9.387665
-0.581791,-2.082955,-9.531317
-0.581791,-2.118869,-9.437943
-0.524330,-2.147599,-9.452309
-0.588974,-2.054225,-9.488221
-0.632069,-2.111686,-9.373300
-0.588974,-2.025495,-9.423578
-0.596156,-2.075773,-9.524135
-0.639252,-2.032677,-9.552865
-0.567426,-2.161964,-9.402030
-0.560243,-2.154782,-9.488221
-0.610521,-2.126051,-9.452309
-0.531513,-2.097321,-9.516952
-0.617704,-2.097321,-9.516952
-0.639252,-1.996764,-9.581595
-0.660800,-2.061408,-9.639056
-0.624887,-2.075773,-9.452309
-0.610521,-2.140416,-9.459491
-0.524330,-2.075773,-9.502586
-0.596156,-2.104503,-9.531317
-0.567426,-2.047042,-9.416395
-0.610521,-2.169147,-9.473856
-0.660800,-2.140416,-9.502586
-0.660800,-2.147599,-9.531317
-0.581791,-2.104503,-9.445126
-0.603339,-2.090138,-9.488221
-0.632069,-2.126051,-9.452309
-0.581791,-2.118869,-9.488221
-0.639252,-2.118869,-9.488221
-0.639252,-2.161964,-9.358934
-0.682347,-2.147599,-9.502586
-0.610521,-2.154782,-9.445126
-0.653617,-2.068590,-9.488221
-0.653617,-2.054225,-9.516952
-0.553061,-2.147599,-9.502586
-0.653617,-2.140416,-9.516952
-0.538695,-2.161964,-9.516952
-0.646434,-2.161964,-9.516952
-0.617704,-2.212242,-9.502586
-0.739808,-2.154782,-9.452309
-0.524330,-2.082955,-9.437943
-0.588974,-2.111686,-9.445126
-0.610521,-2.068590,-9.524135
-0.667982,-2.147599,-9.502586
-0.639252,-2.068590,-9.524135
-0.610521,-2.183512,-9.516952
-0.596156,-2.061408,-9.545682
-0.711078,-2.090138,-9.516952
-0.588974,-2.126051,-9.524135
-0.682347,-2.097321,-9.452309
-0.581791,-2.075773,-9.466674
-0.660800,-2.097321,-9.445126
-0.617704,-2.219425,-9.488221
-0.567426,-2.075773,-9.495404
-0.574608,-2.111686,-9.531317
-0.567426,-2.025495,-9.437943
-0.603339,-2.154782,-9.409213
-0.567426,-2.068590,-9.610326
-0.588974,-2.061408,-9.488221
-0.610521,-2.054225,-9.509769
-0.560243,-2.090138,-9.402030
-0.509965,-2.090138,-9.380483
-0.560243,-2.111686,-9.516952
-0.624887,-2.061408,-9.387665
-0.682347,-2.068590,-9.416395
-0.603339,-2.169147,-9.409213
-0.632069,-2.061408,-9.452309
-0.596156,-2.118869,-9.394848
-0.603339,-2.068590,-9.524135
-0.553061,-2.126051,-9.524135
-0.445322,-2.133234,-9.437943
-0.581791,-2.111686,-9.473856
-0.610521,-2.032677,-9.466674
-0.574608,-2.039860,-9.430760
-0.675165,-2.111686,-9.416395
-0.581791,-2.190695,-9.516952
-0.581791,-2.111686,-9.531317
-0.596156,-2.047042,-9.452309
-0.667982,-2.090138,-9.516952
-0.588974,-2.183512,-9.524135
-0.646434,-2.118869,-9.473856
-0.624887,-2.082955,-9.524135
-0.660800,-2.097321,-9.516952
-0.596156,-2.190695,-9.437943
-0.581791,-2.090138,-9.516952
-0.567426,-2.269703,-9.481039
-0.588974,-2.068590,-9.459491
-0.639252,-2.190695,-9.531317
-0.632069,-2.183512,-9.495404
-0.567426,-2.226608,-9.466674
-0.639252,-2.118869,-9.416395
-0.560243,-2.154782,-9.495404
-0.524330,-2.126051,-9.481039
-0.646434,-2.068590,-9.488221
-0.624887,-2.111686,-9.481039
-0.588974,-2.133234,-9.437943
-0.545878,-2.133234,-9.437943
-0.596156,-2.054225,-9.524135
-0.610521,-1.996764,-9.437943
-0.574608,-2.126051,-9.509769
-0.545878,-2.140416,-9.488221
-0.567426,-2.133234,-9.524135
-0.632069,-2.205060,-9.516952
-0.596156,-2.097321,-9.459491
-0.574608,-2.161964,-9.430760
-0.596156,-2.133234,-9.488221
-0.639252,-2.075773,-9.509769
-0.610521,-2.061408,-9.488221
-0.596156,-2.018312,-9.516952
-0.660800,-2.104503,-9.459491
-0.603339,-2.169147,-9.502586
-0.610521,-2.140416,-9.509769
-0.646434,-2.104503,-9.423578
-0.617704,-2.140416,-9.538500
-0.624887,-2.154782,-9.502586
-0.617704,-2.061408,-9.459491
-0.675165,-2.082955,-9.509769
-0.646434,-2.126051,-9.488221
-0.667982,-2.176329,-9.581595
-0.675165,-2.169147,-9.502586
-0.574608,-2.169147,-9.603143
-0.588974,-2.147599,-9.509769
-0.660800,-2.068590,-9.617508
-0.524330,-2.104503,-9.502586
-0.560243,-2.169147,-9.588778
-0.624887,-2.147599,-9.495404
-0.689530,-2.104503,-9.445126
-0.696713,-2.169147,-9.459491
-0.603339,-2.111686,-9.502586
-0.574608,-2.169147,-9.502586
-0.488417,-2.118869,-9.502586
-0.538695,-2.111686,-9.481039
-0.610521,-2.090138,-9.488221
-0.596156,-2.018312,-9.574412
-0.588974,-2.082955,-9.459491
-0.660800,-2.003947,-9.509769
-0.632069,-2.104503,-9.416395
-0.682347,-2.082955,-9.452309
-0.667982,-2.161964,-9.488221
-0.646434,-2.097321,-9.516952
-0.617704,-2.176329,-9.495404
-0.553061,-2.126051,-9.430760
-0.531513,-2.197877,-9.466674
-0.553061,-2.126051,-9.473856
-0.639252,-2.126051,-9.560047
-0.574608,-2.011129,-9.488221
-0.581791,-2.075773,-9.545682
-0.531513,-2.090138,-9.545682
-0.581791,-2.061408,-9.552865
-0.624887,-2.197877,-9.502586
-0.632069,-2.039860,-9.459491
-0.588974,-2.161964,-9.437943
-0.581791,-2.032677,-9.516952
-0.610521,-2.176329,-9.437943
