Channel 1,Channel 2,Channel 3
-9.574412,1.091756,2.075773
-9.531317,1.098939,2.097321
-9.574412,1.098939,2.090138
-9.588778,1.106121,2.147599
-9.603143,1.063026,2.133234
-9.588778,1.170765,2.111686
-9.560047,1.206678,2.133234
-9.595961,1.106121,2.097321
-9.610326,1.127669,2.133234
-9.538500,1.106121,2.133234
-9.595961,1.070208,2.176329
-9.488221,1.048660,2.097321
-9.524135,1.120486,2.205060
-9.581595,1.134852,2.255338
-9.603143,1.091756,2.197877
-9.581595,1.084573,2.219425
-9.624691,1.048660,2.111686
-9.574412,1.084573,2.190695
-9.646238,1.012747,2.161964
-9.574412,1.113304,2.133234
-9.588778,1.084573,2.090138
-9.473856,1.134852,2.011129
-9.538500,1.134852,2.140416
-9.516952,1.142034,2.126051
-9.631873,1.192312,2.075773
-9.588778,1.134852,2.075773
-9.502586,1.134852,2.126051
-9.588778,1.199495,2.111686
-9.538500,1.163582,2.169147
-9.516952,1.106121,2.090138
-9.531317,1.149217,2.111686
-9.574412,1.142034,2.190695
-9.545682,1.185130,2.111686
-9.502586,1.149217,2.039860
-9.538500,1.213860,2.025495
-9.610326,1.170765,2.054225
-9.653421,1.091756,2.118869
-9.631873,1.077391,2.140416
-9.631873,1.142034,2.118869
-9.560047,1.106121,2.183512
-9.581595,1.084573,2.133234
-9.545682,1.077391,2.169147
-9.545682,1.120486,2.118869
-9.574412,1.149217,2.097321
-9.581595,1.084573,2.147599
-9.567230,1.120486,2.154782
-9.574412,1.149217,2.061408
-9.603143,1.063026,2.111686
-9.639056,1.113304,2.133234
-9.588778,1.149217,2.082955
-9.603143,1.142034,2.039860
-9.610326,1.127669,2.104503
-9.567230,1.163582,2.161964
-9.595961,1.041478,2.169147
-9.610326,1.134852,2.197877
-9.574412,1.156399,2.161964
-9.581595,1.077391,2.169147
-9.560047,1.149217,2.061408
-9.646238,1.098939,2.047042
-9.574412,1.091756,2.176329
-9.560047,1.142034,2.176329
-9.545682,1.177947,2.104503
-9.595961,1.091756,2.147599
-9.567230,1.063026,2.054225
-9.682152,1.106121,2.054225
-9.631873,1.120486,2.176329
-9.552865,1.156399,2.111686
-9.538500,1.235408,2.133234
-9.488221,1.192312,2.126051
-9.574412,1.055843,2.147599
-9.516952,1.142034,2.147599
-9.516952,1.084573,2.169147
-9.581595,1.149217,2.090138
-9.538500,1.041478,2.068590
-9.639056,1.149217,1.996764
-9.574412,1.120486,2.111686
-9.581595,1.177947,2.212242
-9.524135,1.106121,2.075773
-9.631873,1.177947,2.082955
-9.560047,1.177947,2.118869
-9.531317,1.163582,2.197877
-9.574412,1.098939,2.140416
-9.639056,1.170765,2.140416
-9.581595,1.221043,2.054225
-9.588778,1.134852,2.104503
-9.588778,1.149217,2.082955
-9.538500,1.228225,2.090138
-9.574412,1.156399,2.097321
-9.574412,1.249773,2.169147
-9.588778,1.163582,2.111686
-9.646238,1.170765,2.047042
-9.567230,1.170765,2.104503
-9.660604,1.063026,2.133234
-9.588778,1.192312,2.126051
-9.624691,1.127669,2.111686
-9.595961,1.199495,2.176329
-9.595961,1.120486,2.082955
-9.624691,1.070208,2.082955
-9.509769,1.149217,2.126051
-9.516952,1.106121,2.147599
-9.516952,1.041478,2.111686
-9.545682,1.048660,2.104503
-9.481039,1.113304,2.061408
-9.588778,1.113304,2.018312
-9.667787,1.156399,2.054225
-9.574412,1.134852,2.126051
-9.545682,1.120486,2.183512
-9.538500,1.134852,2.082955
-9.595961,1.077391,2.090138
-9.617508,1.048660,2.154782
-9.588778,1.199495,2.118869
-9.667787,1.113304,2.090138
-9.667787,1.142034,2.205060
-9.595961,1.120486,2.090138
-9.603143,1.149217,2.133234
-9.574412,1.163582,2.075773
-9.538500,1.192312,2.126051
-9.560047,1.185130,2.176329
-9.560047,1.156399,2.104503
-9.653421,1.127669,2.068590
-9.552865,1.134852,2.111686
-9.552865,1.106121,2.032677
-9.545682,1.127669,2.075773
-9.488221,1.120486,2.140416
-9.610326,1.177947,1.975216
-9.552865,1.127669,2.047042
-9.574412,1.127669,2.097321
-9.595961,1.091756,2.118869
-9.603143,1.120486,2.183512
-9.552865,1.055843,2.154782
-9.581595,1.091756,2.126051
-9.603143,1.149217,2.104503
-9.581595,1.213860,2.061408
-9.696517,1.077391,2.097321
-9.631873,1.206678,2.090138
-9.682152,1.091756,2.126051
-9.603143,1.192312,2.054225
-9.588778,1.206678,2.161964
-9.603143,1.185130,2.212242
-9.660604,1.134852,2.147599
-9.588778,1.077391,2.075773
-9.660604,1.213860,2.126051
-9.574412,1.185130,2.161964
-9.595961,1.185130,2.240973
-9.524135,1.134852,2.190695
-9.581595,1.077391,2.154782
-9.603143,1.177947,2.097321
-9.631873,1.098939,2.032677
-9.581595,1.142034,2.082955
-9.639056,1.098939,2.154782
-9.516952,1.134852,2.111686
-9.617508,1.134852,2.111686
-9.567230,1.163582,2.118869
-9.574412,1.034295,2.183512
-9.603143,1.149217,2.205060
-9.545682,1.156399,2.219425
-9.603143,1.098939,2.205060
-9.516952,1.120486,2.104503
-9.567230,1.177947,2.104503
-9.502586,1.149217,2.118869
-9.552865,1.120486,2.118869
-9.567230,1.091756,2.097321
-9.545682,1.170765,2.068590
-9.631873,1.077391,2.068590
-9.509769,1.041478,2.075773
-9.567230,1.077391,2.126051
-9.531317,1.113304,2.075773
-9.531317,1.019930,2.018312
-9.610326,1.149217,2.068590
-9.588778,1.170765,2.104503
-9.581595,1.041478,2.090138
-9.502586,1.084573,2.154782
-9.603143,1.235408,2.054225
-9.595961,1.149217,2.126051
-9.646238,1.084573,2.111686
-9.603143,1.091756,2.169147
-9.567230,1.142034,2.111686
-9.624691,1.120486,2.140416
-9.588778,1.098939,2.118869
-9.588778,1.084573,2.133234
-9.595961,1.070208,2.090138
-9.545682,1.084573,2.226608
-9.631873,1.127669,2.233790
-9.617508,1.127669,2.161964
-9.610326,1.163582,2.097321
-9.552865,1.134852,2.154782
-9.588778,1.127669,2.118869
-9.574412,1.170765,2.054225
-9.603143,1.170765,2.090138
-9.567230,1.091756,2.111686
-9.581595,1.120486,2.111686
-9.595961,1.120486,2.075773
-9.581595,1.120486,2.047042
-9.538500,1.113304,2.183512
-9.545682,1.098939,2.169147
-9.603143,1.063026,2.082955
-9.524135,1.134852,2.061408
-9.545682,1.113304,2.032677
-9.595961,1.156399,2.068590
-9.603143,1.156399,2.190695
-9.610326,1.142034,2.161964
-9.588778,1.156399,2.154782
-9.581595,1.055843,2.133234
-9.574412,1.106121,2.133234
-9.567230,1.170765,2.147599
-9.660604,1.134852,2.097321
-9.595961,1.142034,2.176329
-9.646238,1.170765,2.054225
-9.574412,1.113304,2.104503
-9.617508,1.142034,2.147599
-9.574412,1.091756,2.169147
-9.538500,1.149217,2.291251
-9.674969,1.185130,2.154782
-9.617508,1.170765,2.111686
-9.516952,1.098939,2.147599
-9.581595,1.120486,2.047042
-9.538500,1.127669,2.147599
-9.631873,1.149217,2.061408
-9.588778,1.134852,2.133234
-9.588778,1.192312,2.061408
-9.574412,1.177947,2.169147
-9.660604,1.192312,2.126051
-9.624691,1.055843,2.090138
-9.581595,1.134852,2.169147
-9.560047,1.134852,2.176329
-9.516952,1.221043,2.104503
-9.581595,1.106121,1.982399
-9.617508,1.199495,2.039860
-9.617508,1.127669,2.082955
-9.567230,1.106121,2.126051
-9.574412,1.091756,2.161964
-9.595961,1.170765,2.126051
-9.502586,1.213860,2.140416
-9.567230,1.149217,2.133234
-9.682152,1.156399,2.212242
-9.574412,1.120486,2.140416
-9.552865,1.185130,2.111686
-9.588778,1.177947,2.097321
-9.531317,1.113304,2.097321
-9.595961,1.127669,2.111686
-9.588778,1.127669,2.154782
-9.588778,1.098939,2.075773
-9.552865,1.156399,2.140416
-9.524135,1.120486,2.082955
-9.581595,1.063026,2.212242
-9.588778,1.177947,2.104503
-9.588778,1.134852,2.104503
-9.531317,1.084573,2.161964
-9.574412,1.142034,2.140416
-9.617508,1.098939,2.097321
-9.588778,1.106121,2.118869
-9.581595,1.134852,2.104503
-9.581595,1.077391,2.090138
-9.595961,1.170765,2.140416
-9.595961,1.134852,2.183512
-9.574412,1.077391,2.068590
-9.552865,1.120486,2.104503
-9.545682,1.063026,2.140416
-9.567230,1.012747,2.126051
-9.603143,1.149217,2.140416
-9.581595,1.163582,2.054225
-9.581595,1.170765,2.082955
-9.581595,1.149217,2.082955
-9.624691,1.055843,2.104503
-9.624691,1.084573,2.104503
-9.545682,1.077391,2.190695
-9.646238,1.163582,2.104503
-9.588778,1.213860,2.126051
-9.667787,1.077391,2.140416
-9.588778,1.149217,2.190695
-9.588778,1.098939,2.118869
-9.509769,1.106121,2.126051
-9.509769,1.106121,2.111686
-9.524135,1.055843,2.147599
-9.538500,1.113304,2.097321
-9.696517,1.041478,2.075773
-9.667787,1.084573,2.205060
-9.545682,1.113304,2.197877
-9.524135,1.120486,2.090138
-9.545682,1.120486,2.154782
-9.545682,1.106121,2.197877
-9.488221,1.106121,2.133234
-9.610326,1.041478,2.161964
-9.581595,1.106121,2.240973
-9.617508,1.106121,2.154782
-9.595961,1.091756,2.219425
-9.567230,1.163582,2.133234
-9.588778,1.027112,2.075773
-9.603143,1.106121,2.090138
-9.545682,1.055843,2.082955
-9.560047,1.156399,2.126051
-9.610326,1.142034,2.140416
-9.610326,1.185130,2.133234
-9.574412,1.199495,2.075773
-9.624691,1.156399,2.197877
-9.653421,1.206678,2.126051
-9.603143,1.199495,2.126051
-9.581595,1.142034,2.197877
-9.581595,1.027112,2.147599
-9.552865,1.134852,2.126051
-9.581595,1.163582,2.082955
-9.560047,1.084573,2.047042
-9.538500,1.127669,2.082955
-9.595961,1.120486,2.169147
-9.502586,1.142034,2.111686
-9.545682,1.134852,2.061408
-9.595961,1.213860,2.039860
-9.581595,1.142034,2.054225
-9.567230,1.091756,2.068590
-9.560047,1.077391,2.104503
-9.560047,1.199495,2.147599
-9.588778,1.055843,2.161964
-9.545682,1.005565,2.111686
-9.646238,1.142034,2.147599
-9.595961,1.120486,2.032677
-9.588778,1.199495,2.061408
-9.574412,1.091756,2.097321
-9.624691,1.098939,2.255338
-9.646238,1.134852,2.197877
-9.531317,1.091756,2.147599
-9.574412,1.134852,2.061408
-9.581595,1.113304,2.104503
-9.545682,1.156399,2.068590
-9.639056,1.163582,2.039860
-9.631873,1.156399,2.183512
-9.581595,1.034295,2.054225
-9.581595,1.048660,2.140416
-9.581595,1.106121,2.082955
-9.610326,1.034295,2.118869
-9.653421,1.206678,2.126051
-9.631873,1.142034,2.111686
-9.603143,1.098939,2.111686
-9.588778,1.235408,2.061408
-9.545682,1.156399,2.118869
-9.531317,1.106121,2.190695
-9.509769,1.113304,2.090138
-9.617508,1.127669,2.183512
-9.581595,1.134852,2.097321
-9.560047,1.055843,2.190695
-9.639056,1.127669,2.183512
