Channel 1,Channel 2,Channel 3
-6.457162,-4.884171,-5.559336
-6.521805,-4.912902,-5.444415
-6.493075,-4.891354,-5.523423
-6.428432,-4.869806,-5.480328
-6.471527,-4.884171,-5.437232
-6.406884,-4.848258,-5.501875
-6.428432,-4.920084,-5.523423
-6.349423,-4.876989,-5.501875
-6.414066,-4.884171,-5.580884
-6.363788,-4.848258,-5.465962
-6.342240,-4.812346,-5.544971
-6.478710,-4.855441,-5.473145
-6.421249,-4.884171,-5.509058
-6.457162,-4.884171,-5.523423
-6.406884,-4.898537,-5.509058
-6.449979,-4.905719,-5.494693
-6.471527,-4.905719,-5.501875
-6.464345,-4.905719,-5.494693
-6.435614,-4.941632,-5.638345
-6.428432,-4.884171,-5.523423
-6.392519,-4.876989,-5.573701
-6.435614,-4.797980,-5.530606
-6.478710,-4.805163,-5.559336
-6.406884,-4.869806,-5.501875
-6.406884,-4.869806,-5.487510
-6.399701,-4.876989,-5.480328
-6.435614,-4.898537,-5.516241
-6.435614,-4.805163,-5.480328
-6.392519,-4.912902,-5.473145
-6.399701,-4.862624,-5.552154
-6.428432,-4.869806,-5.465962
-6.385336,-4.812346,-5.552154
-6.464345,-4.891354,-5.509058
-6.485892,-4.790798,-5.509058
-6.435614,-4.841076,-5.458780
-6.392519,-4.898537,-5.516241
-6.428432,-4.862624,-5.580884
-6.493075,-4.905719,-5.530606
-6.435614,-4.891354,-5.537788
-6.399701,-4.898537,-5.552154
-6.449979,-4.805163,-5.580884
-6.428432,-4.833893,-5.523423
-6.406884,-4.855441,-5.537788
-6.435614,-4.869806,-5.494693
-6.428432,-4.841076,-5.516241
-6.392519,-4.905719,-5.552154
-6.299145,-4.876989,-5.473145
-6.370971,-4.841076,-5.451597
-6.406884,-4.833893,-5.465962
-6.392519,-4.920084,-5.487510
-6.435614,-4.884171,-5.523423
-6.449979,-4.869806,-5.480328
-6.428432,-4.790798,-5.523423
-6.550536,-4.884171,-5.465962
-6.543353,-4.841076,-5.509058
-6.414066,-4.826711,-5.473145
-6.471527,-4.862624,-5.602432
-6.406884,-4.812346,-5.494693
-6.378153,-4.855441,-5.401319
-6.485892,-4.797980,-5.552154
-6.457162,-4.927267,-5.573701
-6.378153,-4.912902,-5.458780
-6.449979,-4.869806,-5.559336
-6.521805,-4.876989,-5.588067
-6.493075,-4.833893,-5.544971
-6.414066,-4.862624,-5.530606
-6.493075,-4.934450,-5.523423
-6.363788,-4.920084,-5.487510
-6.363788,-4.920084,-5.487510
-6.392519,-4.920084,-5.501875
-6.471527,-4.884171,-5.473145
-6.442797,-4.884171,-5.458780
-6.435614,-4.812346,-5.487510
-6.478710,-4.855441,-5.480328
-6.528988,-4.855441,-5.552154
-6.500257,-4.891354,-5.544971
-6.471527,-4.848258,-5.544971
-6.493075,-4.833893,-5.516241
-6.471527,-4.862624,-5.494693
-6.471527,-4.841076,-5.523423
-6.378153,-4.876989,-5.509058
-6.349423,-4.848258,-5.480328
-6.370971,-4.790798,-5.501875
-6.399701,-4.805163,-5.487510
-6.428432,-4.805163,-5.537788
-6.392519,-4.855441,-5.530606
-6.449979,-4.912902,-5.473145
-6.457162,-4.797980,-5.559336
-6.464345,-4.876989,-5.501875
-6.435614,-4.769250,-5.516241
-6.399701,-4.826711,-5.473145
-6.421249,-4.790798,-5.501875
-6.414066,-4.776433,-5.480328
-6.378153,-4.884171,-5.509058
-6.442797,-4.826711,-5.480328
-6.471527,-4.927267,-5.494693
-6.406884,-4.941632,-5.408502
-6.370971,-4.912902,-5.523423
-6.485892,-4.848258,-5.509058
-6.421249,-4.884171,-5.523423
-6.442797,-4.869806,-5.494693
-6.457162,-4.869806,-5.516241
-6.485892,-4.797980,-5.458780
-6.493075,-4.783615,-5.465962
-6.521805,-4.790798,-5.480328
-6.435614,-4.841076,-5.516241
-6.370971,-4.963180,-5.552154
-6.406884,-4.841076,-5.631162
-6.363788,-4.920084,-5.559336
