Channel 1,Channel 2,Channel 3
7.951144,1.070208,-5.659893
7.821857,1.055843,-5.753267
7.893683,1.055843,-5.746084
7.979874,0.991199,-5.616797
7.908048,1.106121,-5.832275
8.001422,1.041478,-5.760449
7.872135,1.106121,-5.710171
7.972692,1.113304,-5.760449
7.929596,1.091756,-5.638345
7.915231,1.106121,-5.674258
7.929596,1.177947,-5.616797
7.958326,1.063026,-5.717354
7.965509,1.113304,-5.731719
7.886500,1.127669,-5.810728
7.958326,1.077391,-5.688623
7.915231,1.063026,-5.695806
7.994239,0.998382,-5.724536
7.979874,1.027112,-5.760449
7.965509,1.055843,-5.774815
7.972692,1.091756,-5.652710
7.936779,1.063026,-5.731719
7.951144,1.113304,-5.724536
7.965509,1.149217,-5.595249
8.008605,1.041478,-5.638345
7.958326,1.048660,-5.695806
7.979874,1.041478,-5.667076
7.908048,1.012747,-5.688623
7.908048,1.134852,-5.710171
7.929596,1.063026,-5.746084
7.900866,1.127669,-5.652710
7.936779,1.084573,-5.631162
7.908048,1.113304,-5.731719
7.893683,1.070208,-5.681441
7.943961,1.063026,-5.702989
8.030152,1.091756,-5.702989
8.015787,1.106121,-5.688623
8.030152,1.113304,-5.710171
7.915231,0.933739,-5.616797
7.929596,1.012747,-5.781997
7.857770,1.156399,-5.760449
7.843405,1.070208,-5.688623
7.814674,1.012747,-5.674258
7.951144,1.156399,-5.702989
7.987057,1.127669,-5.702989
7.979874,1.142034,-5.825093
7.943961,1.055843,-5.674258
7.958326,1.063026,-5.717354
7.958326,1.149217,-5.681441
7.972692,1.077391,-5.717354
7.994239,1.034295,-5.681441
7.857770,1.041478,-5.674258
7.972692,1.113304,-5.789180
7.900866,1.091756,-5.774815
7.915231,1.070208,-5.702989
7.915231,1.070208,-5.674258
7.908048,1.055843,-5.710171
7.943961,1.106121,-5.702989
7.987057,1.149217,-5.767632
7.958326,1.019930,-5.674258
8.037335,1.019930,-5.616797
7.936779,1.005565,-5.616797
7.987057,1.070208,-5.674258
7.987057,1.070208,-5.681441
7.987057,1.098939,-5.731719
8.030152,1.019930,-5.738902
7.972692,1.012747,-5.738902
8.015787,1.063026,-5.702989
7.987057,1.098939,-5.738902
7.951144,1.084573,-5.667076
8.022970,1.106121,-5.774815
7.965509,1.077391,-5.724536
7.929596,1.034295,-5.710171
7.943961,1.012747,-5.753267
7.836222,1.048660,-5.781997
7.958326,1.070208,-5.702989
7.915231,1.063026,-5.738902
7.936779,1.055843,-5.738902
7.900866,1.063026,-5.767632
7.929596,0.969652,-5.767632
7.951144,1.019930,-5.623980
7.908048,1.055843,-5.652710
7.929596,1.027112,-5.645528
7.879318,1.041478,-5.652710
7.872135,1.012747,-5.631162
7.922413,1.091756,-5.724536
7.943961,1.149217,-5.645528
7.943961,1.091756,-5.681441
7.951144,1.027112,-5.724536
7.872135,1.113304,-5.774815
7.972692,1.041478,-5.717354
7.922413,1.113304,-5.695806
7.943961,1.113304,-5.717354
7.965509,1.005565,-5.810728
7.958326,1.063026,-5.710171
7.900866,0.933739,-5.674258
7.965509,1.019930,-5.731719
7.879318,1.084573,-5.789180
7.900866,1.048660,-5.688623
7.987057,1.041478,-5.702989
7.915231,1.084573,-5.674258
7.900866,1.048660,-5.760449
7.879318,1.091756,-5.702989
7.908048,1.070208,-5.724536
8.030152,0.991199,-5.753267
7.994239,1.048660,-5.731719
7.929596,1.070208,-5.674258
7.979874,1.041478,-5.717354
7.979874,1.055843,-5.731719
7.908048,1.098939,-5.767632
7.829040,1.034295,-5.731719
7.829040,1.034295,-5.638345
7.922413,1.084573,-5.631162
7.879318,1.142034,-5.738902
7.951144,1.012747,-5.702989
7.908048,1.005565,-5.695806
7.994239,1.019930,-5.667076
7.951144,1.055843,-5.645528
7.951144,1.106121,-5.681441
7.886500,1.091756,-5.688623
7.908048,1.048660,-5.717354
7.994239,1.041478,-5.702989
7.951144,1.091756,-5.710171
7.850587,1.113304,-5.710171
7.900866,1.113304,-5.825093
7.929596,1.106121,-5.724536
7.958326,1.120486,-5.760449
7.922413,1.019930,-5.710171
7.922413,1.055843,-5.710171
7.994239,1.127669,-5.717354
7.929596,1.113304,-5.753267
7.900866,0.998382,-5.638345
7.886500,1.120486,-5.710171
7.893683,0.991199,-5.652710
7.915231,1.077391,-5.710171
7.972692,0.984017,-5.659893
7.994239,1.142034,-5.803545
7.908048,1.091756,-5.681441
7.943961,1.091756,-5.767632
7.915231,1.113304,-5.731719
7.936779,1.120486,-5.717354
7.987057,1.070208,-5.731719
7.893683,0.991199,-5.724536
